fecha_utc,identificador_ejecucion,simbolo,pliegue,variante,grupo,penalty,alpha,l1_ratio,epocas,tamano_lote,variables,coeficientes_totalmente_cero,muestras,accuracy,balanced_accuracy,f1_macro,f1_extremos_promedio,pr_auc_baja,pr_auc_sube,tasa_predicha_baja,tasa_predicha_neutral,tasa_predicha_sube,precision_baja,recall_baja,f1_baja,soporte_baja,precision_neutral,recall_neutral,f1_neutral,soporte_neutral,precision_sube,recall_sube,f1_sube,soporte_sube,mejor_lado,f1_mejor_lado,desviacion_mensual_f1_baja,desviacion_mensual_f1_sube,ruta,division_2025_utilizada,division_2026_utilizada
2026-07-04T19:29:53.639503+00:00,20260704T192801Z_ba91dd22,ETHUSDT,validacion_2023,v3a_46_l2,reduccion,l2,0.0001,0.15,3,100000,46,0,523360,0.6060226230510547,0.35240684064454914,0.30481600626756616,0.07867120138480085,0.2406354327348646,0.2891110267829475,0.031039819627025376,0.9465282023845919,0.022431977988382756,0.27282240689442905,0.04456286762857574,0.07661192739844425,99455,0.621745142568761,0.9678075175495378,0.7571056160330967,318242,0.4036626916524702,0.044850136755534106,0.08073047537115746,105663,SUBE,0.08073047537115746,0.041250661562561595,0.03408269153008158,C:\xampp\htdocs\tutan_gestion\modelos_entrenados\cripto\corto_plazo_v3\ablaciones\ETHUSDT\v3a_46_l2\validacion_2023\20260704T192801Z_ba91dd22,False,False
2026-07-04T19:30:19.121278+00:00,20260704T192801Z_ba91dd22,ETHUSDT,validacion_2024,v3a_46_l2,reduccion,l2,0.0001,0.15,3,100000,46,0,526800,0.45566438876233867,0.38011644836520225,0.3401348590553228,0.2033793068958708,0.31051965652229263,0.36172749867240583,0.07133637053910402,0.774206529992407,0.15445709946848898,0.33267695582756784,0.08814591808676402,0.13936559781063804,141833,0.4808803193315222,0.8476812032674936,0.6136459633742268,231370,0.3860731491495428,0.20452222374134912,0.26739301598110354,153597,SUBE,0.26739301598110354,0.04152392275403829,0.06996563506887724,C:\xampp\htdocs\tutan_gestion\modelos_entrenados\cripto\corto_plazo_v3\ablaciones\ETHUSDT\v3a_46_l2\validacion_2024\20260704T192801Z_ba91dd22,False,False
2026-07-04T19:35:54.539974+00:00,20260704T193537Z_572bf8d7,BTCUSDT,validacion_2023,v3a_52_elasticnet_015,elasticnet,elasticnet,0.0001,0.15,3,100000,52,0,523360,0.6606809844084378,0.36099289711337496,0.3338985734920526,0.10113703721701453,0.20913833438895135,0.26196668141674884,0.027000535004585755,0.9364834912870682,0.03651597370834607,0.27301677163682686,0.047402565488769845,0.08077974015640867,81388,0.683619046841781,0.9624586712167825,0.7994216460421287,348123,0.3590602270943436,0.07311745463457256,0.1214943342776204,93849,SUBE,0.1214943342776204,0.028799622295270867,0.05361207773977438,C:\xampp\htdocs\tutan_gestion\modelos_entrenados\cripto\corto_plazo_v3\ablaciones\BTCUSDT\v3a_52_elasticnet_015\validacion_2023\20260704T193537Z_572bf8d7,False,False
2026-07-04T19:36:27.106740+00:00,20260704T193537Z_572bf8d7,BTCUSDT,validacion_2024,v3a_52_elasticnet_015,elasticnet,elasticnet,0.0001,0.15,3,100000,52,0,526800,0.527756264236902,0.38577611336239626,0.35873707101954677,0.19340947612986104,0.2867660009560435,0.3437605551473165,0.05863705391040243,0.8153511769172361,0.12601176917236143,0.32385885399805764,0.0849250411721761,0.13456365005918433,117798,0.5650028985372282,0.8840142063564338,0.6893922607989182,274525,0.38163385204043204,0.1883890925585788,0.2522553022005377,134477,SUBE,0.2522553022005377,0.04054797846885252,0.08128873713634412,C:\xampp\htdocs\tutan_gestion\modelos_entrenados\cripto\corto_plazo_v3\ablaciones\BTCUSDT\v3a_52_elasticnet_015\validacion_2024\20260704T193537Z_572bf8d7,False,False
2026-07-04T19:36:51.664019+00:00,20260704T193537Z_572bf8d7,BTCUSDT,validacion_2023,v3a_52_elasticnet_050,elasticnet,elasticnet,0.0001,0.5,3,100000,52,0,523360,0.6521056251910731,0.35247537059990625,0.32123562201402545,0.08579488763332535,0.15260039131232112,0.23186648622467942,0.01910921736472027,0.9358586823601345,0.04503210027514522,0.22847715228477153,0.02807539194967317,0.05000601822976507,81388,0.6775604288359729,0.9532923707999759,0.7921170907754257,348123,0.3028682959945689,0.07605834905006979,0.12158375703688563,93849,SUBE,0.12158375703688563,0.025328961102448335,0.03249043300881471,C:\xampp\htdocs\tutan_gestion\modelos_entrenados\cripto\corto_plazo_v3\ablaciones\BTCUSDT\v3a_52_elasticnet_050\validacion_2023\20260704T193537Z_572bf8d7,False,False
2026-07-04T19:37:25.017035+00:00,20260704T193537Z_572bf8d7,BTCUSDT,validacion_2024,v3a_52_elasticnet_050,elasticnet,elasticnet,0.0001,0.5,3,100000,52,0,526800,0.5252296886864085,0.37804665903883783,0.3444477809999181,0.17302773714248187,0.2751662995547077,0.3328017373817672,0.04530941533788914,0.8351366742596811,0.11955391040242977,0.31911684611839625,0.06466153924514847,0.10753386462620088,117798,0.5580747812251392,0.8943629906201621,0.6872878687147905,274525,0.373906416220765,0.17511544725120282,0.23852160965876287,134477,SUBE,0.23852160965876287,0.03964112846480833,0.07133724541805807,C:\xampp\htdocs\tutan_gestion\modelos_entrenados\cripto\corto_plazo_v3\ablaciones\BTCUSDT\v3a_52_elasticnet_050\validacion_2024\20260704T193537Z_572bf8d7,False,False
2026-07-04T19:37:50.183607+00:00,20260704T193537Z_572bf8d7,BTCUSDT,validacion_2023,v3a_52_elasticnet_085,elasticnet,elasticnet,0.0001,0.85,3,100000,52,0,523360,0.6446652399877714,0.35214908354850816,0.32387169210781214,0.09270984948173501,0.16712095908883692,0.22617556102820954,0.01703225313359829,0.9226421583613574,0.06032558850504433,0.259255104330267,0.028394849363542536,0.05118380545281389,81388,0.6764973885527074,0.9383551216093162,0.7861953773599664,348123,0.26662865830482707,0.08969727967266566,0.13423589351065612,93849,SUBE,0.13423589351065612,0.031057515449230667,0.033312501070018784,C:\xampp\htdocs\tutan_gestion\modelos_entrenados\cripto\corto_plazo_v3\ablaciones\BTCUSDT\v3a_52_elasticnet_085\validacion_2023\20260704T193537Z_572bf8d7,False,False
2026-07-04T19:38:23.219258+00:00,20260704T193537Z_572bf8d7,BTCUSDT,validacion_2024,v3a_52_elasticnet_085,elasticnet,elasticnet,0.0001,0.85,3,100000,52,0,526800,0.520954821564161,0.3751507363654581,0.33862626824565445,0.1665914100166652,0.2651419106560823,0.3226894802297664,0.03216211085801063,0.8290717539863326,0.1387661351556568,0.32054535796494127,0.04610434812136029,0.0806139185548571,117798,0.5559043399617635,0.8844148984609781,0.6826959847036329,274525,0.35859484008645454,0.19493296251403586,0.2525689014784733,134477,SUBE,0.2525689014784733,0.04098266920624703,0.06848928674266963,C:\xampp\htdocs\tutan_gestion\modelos_entrenados\cripto\corto_plazo_v3\ablaciones\BTCUSDT\v3a_52_elasticnet_085\validacion_2024\20260704T193537Z_572bf8d7,False,False
2026-07-04T19:38:56.145758+00:00,20260704T193841Z_b066857b,ETHUSDT,validacion_2023,v3a_52_elasticnet_015,elasticnet,elasticnet,0.0001,0.15,3,100000,52,0,523360,0.6007872210333232,0.34825764026269607,0.299893981779862,0.07248983778379965,0.2160027976265719,0.2556507774669691,0.0359542188933048,0.9406985631305411,0.02334721797615408,0.23776372429186374,0.04498516917198733,0.07565611471861472,99455,0.6212737953055305,0.9611176400349419,0.7547022697719865,318242,0.33439725018413946,0.03867011158115897,0.06932356084898458,105663,BAJA,0.07565611471861472,0.039839684131491526,0.03660038247007903,C:\xampp\htdocs\tutan_gestion\modelos_entrenados\cripto\corto_plazo_v3\ablaciones\ETHUSDT\v3a_52_elasticnet_015\validacion_2023\20260704T193841Z_b066857b,False,False
2026-07-04T19:39:25.314717+00:00,20260704T193841Z_b066857b,ETHUSDT,validacion_2024,v3a_52_elasticnet_015,elasticnet,elasticnet,0.0001,0.15,3,100000,52,0,526800,0.45239179954441916,0.3729615675180637,0.32686044261193964,0.1830316178589828,0.30923556997331486,0.3559926451316958,0.07318147304479879,0.8007118451025057,0.12610668185269552,0.3126945424361901,0.08499432431098546,0.1336585636277961,141833,0.47579389068667544,0.8674287937070493,0.6145180921178532,231370,0.3848689657248657,0.1664615845361563,0.23240467209016952,153597,SUBE,0.23240467209016952,0.04082041792188377,0.06984730387856326,C:\xampp\htdocs\tutan_gestion\modelos_entrenados\cripto\corto_plazo_v3\ablaciones\ETHUSDT\v3a_52_elasticnet_015\validacion_2024\20260704T193841Z_b066857b,False,False
2026-07-04T19:39:47.833563+00:00,20260704T193841Z_b066857b,ETHUSDT,validacion_2023,v3a_52_elasticnet_050,elasticnet,elasticnet,0.0001,0.5,3,100000,52,0,523360,0.3789647661265668,0.32329863768555217,0.30849941906138056,0.20373004781826395,0.17804394705288243,0.20510733320517516,0.38527399877713236,0.47593052583307854,0.13879547538978906,0.18316082861776362,0.3713438238399276,0.24532036719673722,99455,0.5899559584556152,0.46174923485900665,0.5180381615476138,318242,0.19899504405286345,0.1368028543577222,0.1621397284397907,105663,BAJA,0.24532036719673722,0.040780380770014044,0.03529033886476595,C:\xampp\htdocs\tutan_gestion\modelos_entrenados\cripto\corto_plazo_v3\ablaciones\ETHUSDT\v3a_52_elasticnet_050\validacion_2023\20260704T193841Z_b066857b,False,False
2026-07-04T19:40:17.541075+00:00,20260704T193841Z_b066857b,ETHUSDT,validacion_2024,v3a_52_elasticnet_050,elasticnet,elasticnet,0.0001,0.5,3,100000,52,0,526800,0.4488496583143508,0.3736909567249071,0.3329671691083742,0.1942913017030125,0.30596559196536655,0.3373844224934362,0.12697798025816248,0.7839066059225512,0.08911541381928625,0.3303534054894457,0.15580295135828756,0.21174272367948258,141833,0.4761309757314232,0.8498249556986645,0.6103189039190976,231370,0.3777105610701657,0.11544496311776922,0.17683987972654244,153597,BAJA,0.21174272367948258,0.057694240003267824,0.06022333065557224,C:\xampp\htdocs\tutan_gestion\modelos_entrenados\cripto\corto_plazo_v3\ablaciones\ETHUSDT\v3a_52_elasticnet_050\validacion_2024\20260704T193841Z_b066857b,False,False
2026-07-04T19:40:40.056416+00:00,20260704T193841Z_b066857b,ETHUSDT,validacion_2023,v3a_52_elasticnet_085,elasticnet,elasticnet,0.0001,0.85,3,100000,52,0,523360,0.42656679914399265,0.3215699877254914,0.31998791123469567,0.1876251718603406,0.18358364353804343,0.19537507085168831,0.24134630082543565,0.5928901712014675,0.1657635279730969,0.18162313654392728,0.23066713589060378,0.20322812115198924,99455,0.5922009700446349,0.5774127864958114,0.5847133899834059,318242,0.19076930170366785,0.15663004079005896,0.17202222256869196,105663,BAJA,0.20322812115198924,0.0344981835712329,0.03481461978051044,C:\xampp\htdocs\tutan_gestion\modelos_entrenados\cripto\corto_plazo_v3\ablaciones\ETHUSDT\v3a_52_elasticnet_085\validacion_2023\20260704T193841Z_b066857b,False,False
2026-07-04T19:41:09.792618+00:00,20260704T193841Z_b066857b,ETHUSDT,validacion_2024,v3a_52_elasticnet_085,elasticnet,elasticnet,0.0001,0.85,3,100000,52,0,526800,0.4409396355353075,0.3690920016936576,0.333372984435998,0.19958577782672504,0.3048126001381421,0.31366821026727115,0.12292141230068337,0.7637927107061503,0.11328587699316629,0.3343216740020076,0.15263725649178964,0.20958622959707243,141833,0.47325320727894504,0.8230150840644854,0.6009473976545439,231370,0.3387623787261851,0.13162366452469776,0.18958532605637765,153597,BAJA,0.20958622959707243,0.06520982989645702,0.0428098439683692,C:\xampp\htdocs\tutan_gestion\modelos_entrenados\cripto\corto_plazo_v3\ablaciones\ETHUSDT\v3a_52_elasticnet_085\validacion_2024\20260704T193841Z_b066857b,False,False
