variable,grupo,es_cruzada,coeficiente_BAJA,coeficiente_absoluto_BAJA,coeficiente_NEUTRAL,coeficiente_absoluto_NEUTRAL,coeficiente_SUBE,coeficiente_absoluto_SUBE,importancia_media_absoluta,importancia_maxima_absoluta
otro_volatilidad_240m,volatilidad_otro,True,-0.060081902891397476,0.060081902891397476,0.08989130705595016,0.08989130705595016,-0.037674810737371445,0.037674810737371445,0.0625493402282397,0.08989130705595016
operaciones_relativas_240m,operaciones_relativas,False,0.06760776042938232,0.06760776042938232,-0.0790800005197525,0.0790800005197525,-0.03909744694828987,0.03909744694828987,0.0619284026324749,0.0790800005197525
volatilidad_60m,volatilidad_propia,False,0.04656901955604553,0.04656901955604553,-0.052801236510276794,0.052801236510276794,-0.08559654653072357,0.08559654653072357,0.06165560086568197,0.08559654653072357
volatilidad_15m,volatilidad_propia,False,0.013623200356960297,0.013623200356960297,-0.12575757503509521,0.12575757503509521,0.044171079993247986,0.044171079993247986,0.061183951795101166,0.12575757503509521
beta_propio_otro_60m,beta,True,0.030042920261621475,0.030042920261621475,-0.057737234979867935,0.057737234979867935,0.0725235715508461,0.0725235715508461,0.05343457559744517,0.0725235715508461
residual_propio_otro_240m,residual,True,-0.06244248151779175,0.06244248151779175,-0.02107011340558529,0.02107011340558529,0.06815841048955917,0.06815841048955917,0.05055700180431207,0.06815841048955917
volumen_relativo_240m,volumen_relativo,False,0.03541061282157898,0.03541061282157898,0.0031230205204337835,0.0031230205204337835,-0.10220663249492645,0.10220663249492645,0.046913421945646405,0.10220663249492645
residual_propio_otro_60m,residual,True,-0.020938875153660774,0.020938875153660774,-0.06104748323559761,0.06104748323559761,0.057309653609991074,0.057309653609991074,0.04643200399974982,0.06104748323559761
residual_propio_otro_1440m,residual,True,0.0737714096903801,0.0737714096903801,-0.00759098818525672,0.00759098818525672,-0.05756141245365143,0.05756141245365143,0.046307936776429415,0.0737714096903801
divergencia_rendimiento_240m,divergencia_rendimiento,True,0.04266303405165672,0.04266303405165672,0.0276882853358984,0.0276882853358984,-0.05896814167499542,0.05896814167499542,0.04310648702085018,0.05896814167499542
ratio_volatilidad_60m,volatilidad_relativa,True,-0.02490435540676117,0.02490435540676117,0.03987772390246391,0.03987772390246391,-0.052339401096105576,0.052339401096105576,0.03904049346844355,0.052339401096105576
operaciones_relativas_30m,operaciones_relativas,False,-0.04016564413905144,0.04016564413905144,-0.02024894952774048,0.02024894952774048,0.04610421881079674,0.04610421881079674,0.035506270825862885,0.04610421881079674
