umbral_sube,modo_entrada,umbral_veto_baja_clave,usa_veto_baja,tipo_salida,nombre_salida,horizonte_salida,coste,operaciones_2023,precision_clasificacion_2023,porcentaje_acierto_clasificacion_2023,porcentaje_operaciones_positivas_2023,retorno_bruto_medio_2023,retorno_neto_medio_2023,retorno_neto_mediano_2023,factor_beneficio_2023,maximo_drawdown_2023,operaciones_2024,precision_clasificacion_2024,porcentaje_acierto_clasificacion_2024,porcentaje_operaciones_positivas_2024,retorno_bruto_medio_2024,retorno_neto_medio_2024,retorno_neto_mediano_2024,factor_beneficio_2024,maximo_drawdown_2024,operaciones_minimo,operaciones_medio,operaciones_diferencia,precision_clasificacion_minimo,precision_clasificacion_medio,precision_clasificacion_diferencia,porcentaje_acierto_clasificacion_minimo,porcentaje_acierto_clasificacion_medio,porcentaje_acierto_clasificacion_diferencia,porcentaje_operaciones_positivas_minimo,porcentaje_operaciones_positivas_medio,porcentaje_operaciones_positivas_diferencia,retorno_bruto_medio_minimo,retorno_bruto_medio_medio,retorno_bruto_medio_diferencia,retorno_neto_medio_minimo,retorno_neto_medio_medio,retorno_neto_medio_diferencia,retorno_neto_mediano_minimo,retorno_neto_mediano_medio,retorno_neto_mediano_diferencia,factor_beneficio_minimo,factor_beneficio_medio,factor_beneficio_diferencia,maximo_drawdown_minimo,maximo_drawdown_medio,maximo_drawdown_diferencia,umbral_veto_baja,cumple_filtros,puntuacion
0.49,confirmacion_3m,0.3,True,fija,fija_240m,240,0.002,1,1.0,100.0,100.0,0.0096743860068553,0.0076743860068553,0.0076743860068553,inf,0.0,4,0.75,75.0,100.0,0.0178388970410222,0.0158388970410222,0.0155957954193856,inf,0.0,1,2.5,3,0.75,0.875,0.25,75.0,87.5,25.0,100.0,100.0,0.0,0.0096743860068553,0.01375664152393875,0.0081645110341669,0.0076743860068553,0.01175664152393875,0.008164511034166901,0.0076743860068553,0.01163509071312045,0.007921409412530299,inf,inf,,0.0,0.0,0.0,0.3,False,inf
0.49,confirmacion_3m,0.3,True,fija,fija_240m,240,0.001,1,1.0,100.0,100.0,0.0096743860068553,0.0086743860068553,0.0086743860068553,inf,0.0,4,0.75,75.0,100.0,0.0178388970410222,0.0168388970410222,0.0165957954193856,inf,0.0,1,2.5,3,0.75,0.875,0.25,75.0,87.5,25.0,100.0,100.0,0.0,0.0096743860068553,0.01375664152393875,0.0081645110341669,0.0086743860068553,0.012756641523938751,0.008164511034166901,0.0086743860068553,0.01263509071312045,0.007921409412530299,inf,inf,,0.0,0.0,0.0,0.3,False,inf
0.49,confirmacion_3m,0.3,True,fija,fija_240m,240,0.0005,1,1.0,100.0,100.0,0.0096743860068553,0.0091743860068553,0.0091743860068553,inf,0.0,4,0.75,75.0,100.0,0.0178388970410222,0.0173388970410222,0.0170957954193856,inf,0.0,1,2.5,3,0.75,0.875,0.25,75.0,87.5,25.0,100.0,100.0,0.0,0.0096743860068553,0.01375664152393875,0.0081645110341669,0.0091743860068553,0.01325664152393875,0.008164511034166898,0.0091743860068553,0.01313509071312045,0.007921409412530299,inf,inf,,0.0,0.0,0.0,0.3,False,inf
0.49,confirmacion_3m,0.3,True,fija,fija_60m,60,0.002,1,1.0,100.0,100.0,0.0206620519015745,0.0186620519015745,0.0186620519015745,inf,0.0,5,0.8,80.0,100.0,0.0156817365639172,0.0136817365639172,0.0140345265484018,inf,0.0,1,3.0,4,0.8,0.9,0.19999999999999996,80.0,90.0,20.0,100.0,100.0,0.0,0.0156817365639172,0.01817189423274585,0.0049803153376573005,0.0136817365639172,0.01617189423274585,0.004980315337657302,0.0140345265484018,0.01634828922498815,0.0046275253531727015,inf,inf,,0.0,0.0,0.0,0.3,False,inf
0.49,confirmacion_3m,0.3,True,fija,fija_60m,60,0.001,1,1.0,100.0,100.0,0.0206620519015745,0.0196620519015745,0.0196620519015745,inf,0.0,5,0.8,80.0,100.0,0.0156817365639172,0.0146817365639172,0.0150345265484018,inf,0.0,1,3.0,4,0.8,0.9,0.19999999999999996,80.0,90.0,20.0,100.0,100.0,0.0,0.0156817365639172,0.01817189423274585,0.0049803153376573005,0.0146817365639172,0.01717189423274585,0.004980315337657299,0.0150345265484018,0.01734828922498815,0.004627525353172698,inf,inf,,0.0,0.0,0.0,0.3,False,inf
0.49,confirmacion_3m,0.3,True,fija,fija_60m,60,0.0005,1,1.0,100.0,100.0,0.0206620519015745,0.0201620519015745,0.0201620519015745,inf,0.0,5,0.8,80.0,100.0,0.0156817365639172,0.0151817365639172,0.0155345265484018,inf,0.0,1,3.0,4,0.8,0.9,0.19999999999999996,80.0,90.0,20.0,100.0,100.0,0.0,0.0156817365639172,0.01817189423274585,0.0049803153376573005,0.0151817365639172,0.01767189423274585,0.004980315337657299,0.0155345265484018,0.01784828922498815,0.0046275253531727,inf,inf,,0.0,0.0,0.0,0.3,False,inf
0.52,confirmacion_3m,0.3,True,barrera,tp100_sl050_480m,480,0.002,3,1.0,100.0,100.0,0.01,0.008,0.008,inf,0.0,1,1.0,100.0,100.0,0.01,0.008,0.008,inf,0.0,1,2.0,2,1.0,1.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,0.01,0.01,0.0,0.008,0.008,0.0,0.008,0.008,0.0,inf,inf,,0.0,0.0,0.0,0.3,False,inf
0.52,confirmacion_3m,0.3,True,barrera,tp100_sl050_480m,480,0.001,3,1.0,100.0,100.0,0.01,0.009,0.009,inf,0.0,1,1.0,100.0,100.0,0.01,0.009,0.009,inf,0.0,1,2.0,2,1.0,1.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,0.01,0.01,0.0,0.009,0.009,0.0,0.009,0.009,0.0,inf,inf,,0.0,0.0,0.0,0.3,False,inf
0.52,confirmacion_3m,0.3,True,barrera,tp100_sl050_480m,480,0.0005,3,1.0,100.0,100.0,0.01,0.0095,0.0095,inf,0.0,1,1.0,100.0,100.0,0.01,0.0095,0.0095,inf,0.0,1,2.0,2,1.0,1.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,0.01,0.01,0.0,0.0095,0.0095,0.0,0.0095,0.0095,0.0,inf,inf,,0.0,0.0,0.0,0.3,False,inf
0.53,creciente_5m,0.4,True,fija,fija_120m,120,0.001,3,0.6666666666666666,66.66666666666666,100.0,0.0161144889711123,0.0151144889711123,0.0141316523079758,inf,0.0,1,1.0,100.0,100.0,0.0056615661432088,0.0046615661432088,0.0046615661432088,inf,0.0,1,2.0,2,0.6666666666666666,0.8333333333333333,0.33333333333333337,66.66666666666666,83.33333333333333,33.33333333333334,100.0,100.0,0.0,0.0056615661432088,0.01088802755716055,0.010452922827903503,0.0046615661432088,0.009888027557160551,0.010452922827903501,0.0046615661432088,0.0093966092255923,0.009470086164767001,inf,inf,,0.0,0.0,0.0,0.4,False,inf
0.53,creciente_5m,0.4,True,fija,fija_120m,120,0.0005,3,0.6666666666666666,66.66666666666666,100.0,0.0161144889711123,0.0156144889711123,0.0146316523079758,inf,0.0,1,1.0,100.0,100.0,0.0056615661432088,0.0051615661432088,0.0051615661432088,inf,0.0,1,2.0,2,0.6666666666666666,0.8333333333333333,0.33333333333333337,66.66666666666666,83.33333333333333,33.33333333333334,100.0,100.0,0.0,0.0056615661432088,0.01088802755716055,0.010452922827903503,0.0051615661432088,0.01038802755716055,0.0104529228279035,0.0051615661432088,0.009896609225592299,0.009470086164767,inf,inf,,0.0,0.0,0.0,0.4,False,inf
0.53,creciente_5m,0.4,True,fija,fija_60m,60,0.002,3,0.6666666666666666,66.66666666666666,100.0,0.0105132130989951,0.0085132130989951,0.0124481853168956,inf,0.0,1,1.0,100.0,100.0,0.0054386385628966,0.0034386385628966,0.0034386385628966,inf,0.0,1,2.0,2,0.6666666666666666,0.8333333333333333,0.33333333333333337,66.66666666666666,83.33333333333333,33.33333333333334,100.0,100.0,0.0,0.0054386385628966,0.00797592583094585,0.005074574536098501,0.0034386385628966,0.00597592583094585,0.005074574536098501,0.0034386385628966,0.0079434119398961,0.009009546753999,inf,inf,,0.0,0.0,0.0,0.4,False,inf
0.53,creciente_5m,0.4,True,fija,fija_60m,60,0.001,3,0.6666666666666666,66.66666666666666,100.0,0.0105132130989951,0.0095132130989951,0.0134481853168956,inf,0.0,1,1.0,100.0,100.0,0.0054386385628966,0.0044386385628966,0.0044386385628966,inf,0.0,1,2.0,2,0.6666666666666666,0.8333333333333333,0.33333333333333337,66.66666666666666,83.33333333333333,33.33333333333334,100.0,100.0,0.0,0.0054386385628966,0.00797592583094585,0.005074574536098501,0.0044386385628966,0.0069759258309458495,0.0050745745360985,0.0044386385628966,0.0089434119398961,0.009009546753998999,inf,inf,,0.0,0.0,0.0,0.4,False,inf
0.53,creciente_5m,0.4,True,fija,fija_60m,60,0.0005,3,0.6666666666666666,66.66666666666666,100.0,0.0105132130989951,0.0100132130989951,0.0139481853168956,inf,0.0,1,1.0,100.0,100.0,0.0054386385628966,0.0049386385628966,0.0049386385628966,inf,0.0,1,2.0,2,0.6666666666666666,0.8333333333333333,0.33333333333333337,66.66666666666666,83.33333333333333,33.33333333333334,100.0,100.0,0.0,0.0054386385628966,0.00797592583094585,0.005074574536098501,0.0049386385628966,0.00747592583094585,0.0050745745360985,0.0049386385628966,0.0094434119398961,0.009009546753998999,inf,inf,,0.0,0.0,0.0,0.4,False,inf
0.51,confirmacion_3m,0.3,True,fija,fija_480m,480,0.002,3,1.0,100.0,100.0,0.0163201768074896,0.0143201768074896,0.0138649777974642,inf,0.0,3,1.0,100.0,100.0,0.0224399560497499,0.0204399560497499,0.0216967273903321,inf,0.0,3,3.0,0,1.0,1.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0163201768074896,0.019380066428619752,0.006119779242260297,0.0143201768074896,0.01738006642861975,0.006119779242260301,0.0138649777974642,0.01778085259389815,0.0078317495928679,inf,inf,,0.0,0.0,0.0,0.3,False,inf
0.51,confirmacion_3m,0.3,True,fija,fija_480m,480,0.001,3,1.0,100.0,100.0,0.0163201768074896,0.0153201768074896,0.0148649777974642,inf,0.0,3,1.0,100.0,100.0,0.0224399560497499,0.0214399560497499,0.0226967273903321,inf,0.0,3,3.0,0,1.0,1.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0163201768074896,0.019380066428619752,0.006119779242260297,0.0153201768074896,0.01838006642861975,0.006119779242260301,0.0148649777974642,0.01878085259389815,0.0078317495928679,inf,inf,,0.0,0.0,0.0,0.3,False,inf
0.51,confirmacion_3m,0.3,True,fija,fija_480m,480,0.0005,3,1.0,100.0,100.0,0.0163201768074896,0.0158201768074896,0.0153649777974642,inf,0.0,3,1.0,100.0,100.0,0.0224399560497499,0.0219399560497499,0.0231967273903321,inf,0.0,3,3.0,0,1.0,1.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0163201768074896,0.019380066428619752,0.006119779242260297,0.0158201768074896,0.01888006642861975,0.006119779242260297,0.0153649777974642,0.01928085259389815,0.0078317495928679,inf,inf,,0.0,0.0,0.0,0.3,False,inf
0.51,confirmacion_3m,0.3,True,fija,fija_240m,240,0.002,3,1.0,100.0,100.0,0.0142236361727701,0.0122236361727701,0.0137728150979066,inf,0.0,3,1.0,100.0,100.0,0.0122510951210002,0.0102510951210002,0.0097137759172185,inf,0.0,3,3.0,0,1.0,1.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0122510951210002,0.01323736564688515,0.0019725410517699004,0.0102510951210002,0.011237365646885149,0.0019725410517699004,0.0097137759172185,0.01174329550756255,0.0040590391806881,inf,inf,,0.0,0.0,0.0,0.3,False,inf
0.51,confirmacion_3m,0.3,True,fija,fija_240m,240,0.001,3,1.0,100.0,100.0,0.0142236361727701,0.0132236361727701,0.0147728150979066,inf,0.0,3,1.0,100.0,100.0,0.0122510951210002,0.0112510951210002,0.0107137759172185,inf,0.0,3,3.0,0,1.0,1.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0122510951210002,0.01323736564688515,0.0019725410517699004,0.0112510951210002,0.01223736564688515,0.0019725410517699004,0.0107137759172185,0.01274329550756255,0.0040590391806880986,inf,inf,,0.0,0.0,0.0,0.3,False,inf
0.51,confirmacion_3m,0.3,True,fija,fija_240m,240,0.0005,3,1.0,100.0,100.0,0.0142236361727701,0.0137236361727701,0.0152728150979066,inf,0.0,3,1.0,100.0,100.0,0.0122510951210002,0.0117510951210002,0.0112137759172185,inf,0.0,3,3.0,0,1.0,1.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0122510951210002,0.01323736564688515,0.0019725410517699004,0.0117510951210002,0.01273736564688515,0.0019725410517698987,0.0112137759172185,0.01324329550756255,0.0040590391806881,inf,inf,,0.0,0.0,0.0,0.3,False,inf
0.51,confirmacion_3m,0.3,True,fija,fija_60m,60,0.002,3,1.0,100.0,100.0,0.0215311905824727,0.0195311905824727,0.0186620519015745,inf,0.0,4,1.0,100.0,100.0,0.0119147224839619,0.0099147224839619,0.0084315036873769,inf,0.0,3,3.5,1,1.0,1.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0119147224839619,0.0167229565332173,0.009616468098510801,0.0099147224839619,0.014722956533217299,0.0096164680985108,0.0084315036873769,0.0135467777944757,0.010230548214197601,inf,inf,,0.0,0.0,0.0,0.3,False,inf
0.51,confirmacion_3m,0.3,True,fija,fija_60m,60,0.001,3,1.0,100.0,100.0,0.0215311905824727,0.0205311905824727,0.0196620519015745,inf,0.0,4,1.0,100.0,100.0,0.0119147224839619,0.0109147224839619,0.0094315036873769,inf,0.0,3,3.5,1,1.0,1.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0119147224839619,0.0167229565332173,0.009616468098510801,0.0109147224839619,0.0157229565332173,0.0096164680985108,0.0094315036873769,0.014546777794475699,0.0102305482141976,inf,inf,,0.0,0.0,0.0,0.3,False,inf
0.51,confirmacion_3m,0.3,True,fija,fija_60m,60,0.0005,3,1.0,100.0,100.0,0.0215311905824727,0.0210311905824727,0.0201620519015745,inf,0.0,4,1.0,100.0,100.0,0.0119147224839619,0.0114147224839619,0.0099315036873769,inf,0.0,3,3.5,1,1.0,1.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0119147224839619,0.0167229565332173,0.009616468098510801,0.0114147224839619,0.0162229565332173,0.0096164680985108,0.0099315036873769,0.0150467777944757,0.0102305482141976,inf,inf,,0.0,0.0,0.0,0.3,False,inf
0.52,confirmacion_3m,0.3,True,barrera,tp070_sl040_480m,480,0.002,3,1.0,100.0,100.0,0.007,0.005,0.005,inf,0.0,1,1.0,100.0,100.0,0.007,0.005,0.005,inf,0.0,1,2.0,2,1.0,1.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,0.007,0.007,0.0,0.005,0.005,0.0,0.005,0.005,0.0,inf,inf,,0.0,0.0,0.0,0.3,False,inf
0.52,confirmacion_3m,0.3,True,barrera,tp070_sl040_480m,480,0.001,3,1.0,100.0,100.0,0.007,0.006,0.006,inf,0.0,1,1.0,100.0,100.0,0.007,0.006,0.006,inf,0.0,1,2.0,2,1.0,1.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,0.007,0.007,0.0,0.006,0.006,0.0,0.006,0.006,0.0,inf,inf,,0.0,0.0,0.0,0.3,False,inf
0.52,confirmacion_3m,0.3,True,barrera,tp070_sl040_480m,480,0.0005,3,1.0,100.0,100.0,0.007,0.0065,0.0065,inf,0.0,1,1.0,100.0,100.0,0.007,0.0065,0.0065,inf,0.0,1,2.0,2,1.0,1.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,0.007,0.007,0.0,0.0065,0.0065,0.0,0.0065,0.0065,0.0,inf,inf,,0.0,0.0,0.0,0.3,False,inf
0.52,confirmacion_3m,0.3,True,barrera,tp070_sl035_240m,240,0.002,3,1.0,100.0,100.0,0.007,0.005,0.005,inf,0.0,1,1.0,100.0,100.0,0.007,0.005,0.005,inf,0.0,1,2.0,2,1.0,1.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,0.007,0.007,0.0,0.005,0.005,0.0,0.005,0.005,0.0,inf,inf,,0.0,0.0,0.0,0.3,False,inf
0.52,confirmacion_3m,0.3,True,barrera,tp070_sl035_240m,240,0.001,3,1.0,100.0,100.0,0.007,0.006,0.006,inf,0.0,1,1.0,100.0,100.0,0.007,0.006,0.006,inf,0.0,1,2.0,2,1.0,1.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,0.007,0.007,0.0,0.006,0.006,0.0,0.006,0.006,0.0,inf,inf,,0.0,0.0,0.0,0.3,False,inf
0.52,confirmacion_3m,0.3,True,barrera,tp070_sl035_240m,240,0.0005,3,1.0,100.0,100.0,0.007,0.0065,0.0065,inf,0.0,1,1.0,100.0,100.0,0.007,0.0065,0.0065,inf,0.0,1,2.0,2,1.0,1.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,0.007,0.007,0.0,0.0065,0.0065,0.0,0.0065,0.0065,0.0,inf,inf,,0.0,0.0,0.0,0.3,False,inf
0.53,creciente_5m,0.4,True,fija,fija_120m,120,0.002,3,0.6666666666666666,66.66666666666666,100.0,0.0161144889711123,0.0141144889711123,0.0131316523079758,inf,0.0,1,1.0,100.0,100.0,0.0056615661432088,0.0036615661432088,0.0036615661432088,inf,0.0,1,2.0,2,0.6666666666666666,0.8333333333333333,0.33333333333333337,66.66666666666666,83.33333333333333,33.33333333333334,100.0,100.0,0.0,0.0056615661432088,0.01088802755716055,0.010452922827903503,0.0036615661432088,0.00888802755716055,0.0104529228279035,0.0036615661432088,0.0083966092255923,0.009470086164767,inf,inf,,0.0,0.0,0.0,0.4,False,inf
0.52,confirmacion_3m,0.3,True,fija,fija_480m,480,0.002,3,1.0,100.0,100.0,0.0163201768074896,0.0143201768074896,0.0138649777974642,inf,0.0,1,1.0,100.0,100.0,0.0157976414809251,0.0137976414809251,0.0137976414809251,inf,0.0,1,2.0,2,1.0,1.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0157976414809251,0.01605890914420735,0.0005225353265645022,0.0137976414809251,0.014058909144207349,0.0005225353265645005,0.0137976414809251,0.013831309639194649,6.733631653909992e-05,inf,inf,,0.0,0.0,0.0,0.3,False,inf
0.52,confirmacion_3m,0.3,True,fija,fija_480m,480,0.001,3,1.0,100.0,100.0,0.0163201768074896,0.0153201768074896,0.0148649777974642,inf,0.0,1,1.0,100.0,100.0,0.0157976414809251,0.0147976414809251,0.0147976414809251,inf,0.0,1,2.0,2,1.0,1.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0157976414809251,0.01605890914420735,0.0005225353265645022,0.0147976414809251,0.01505890914420735,0.0005225353265645005,0.0147976414809251,0.01483130963919465,6.733631653909992e-05,inf,inf,,0.0,0.0,0.0,0.3,False,inf
0.52,confirmacion_3m,0.3,True,fija,fija_480m,480,0.0005,3,1.0,100.0,100.0,0.0163201768074896,0.0158201768074896,0.0153649777974642,inf,0.0,1,1.0,100.0,100.0,0.0157976414809251,0.0152976414809251,0.0152976414809251,inf,0.0,1,2.0,2,1.0,1.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0157976414809251,0.01605890914420735,0.0005225353265645022,0.0152976414809251,0.01555890914420735,0.0005225353265645005,0.0152976414809251,0.01533130963919465,6.733631653909992e-05,inf,inf,,0.0,0.0,0.0,0.3,False,inf
0.52,creciente_5m,0.4,True,fija,fija_120m,120,0.002,3,0.6666666666666666,66.66666666666666,100.0,0.0161144889711123,0.0141144889711123,0.0131316523079758,inf,0.0,1,1.0,100.0,100.0,0.0056615661432088,0.0036615661432088,0.0036615661432088,inf,0.0,1,2.0,2,0.6666666666666666,0.8333333333333333,0.33333333333333337,66.66666666666666,83.33333333333333,33.33333333333334,100.0,100.0,0.0,0.0056615661432088,0.01088802755716055,0.010452922827903503,0.0036615661432088,0.00888802755716055,0.0104529228279035,0.0036615661432088,0.0083966092255923,0.009470086164767,inf,inf,,0.0,0.0,0.0,0.4,False,inf
0.52,creciente_5m,0.4,True,fija,fija_120m,120,0.001,3,0.6666666666666666,66.66666666666666,100.0,0.0161144889711123,0.0151144889711123,0.0141316523079758,inf,0.0,1,1.0,100.0,100.0,0.0056615661432088,0.0046615661432088,0.0046615661432088,inf,0.0,1,2.0,2,0.6666666666666666,0.8333333333333333,0.33333333333333337,66.66666666666666,83.33333333333333,33.33333333333334,100.0,100.0,0.0,0.0056615661432088,0.01088802755716055,0.010452922827903503,0.0046615661432088,0.009888027557160551,0.010452922827903501,0.0046615661432088,0.0093966092255923,0.009470086164767001,inf,inf,,0.0,0.0,0.0,0.4,False,inf
