multiplicador_baja,multiplicador_neutral,multiplicador_sube,accuracy,balanced_accuracy,f1_macro,predicciones_baja,predicciones_neutral,predicciones_sube,porcentaje_predicho_baja,porcentaje_predicho_neutral,porcentaje_predicho_sube
1.3,1.0,1.4,0.41703957382039575,0.3998268341729907,0.3488745782687621,18927,211783,294890,3.6010273972602738,40.29356925418569,56.10540334855403
1.25,1.0,1.35,0.4207667427701674,0.40108878819940824,0.3487214956998612,16381,227153,282066,3.116628614916286,43.21784627092846,53.66552511415526
1.65,1.0,1.2,0.38870814307458146,0.39493320624078315,0.3476303880309089,336762,152924,35914,64.07191780821918,29.095129375951295,6.832952815829528
2.0,1.0,2.0,0.3687195585996956,0.38028380563153846,0.3475950521884965,136902,67545,321153,26.046803652968038,12.851027397260273,61.10216894977169
1.7,1.0,1.25,0.38463089802130895,0.39328256773390796,0.34569838101452605,346528,140322,38750,65.92998477929984,26.697488584474886,7.372526636225267
1.75,1.0,1.3,0.38038622526636223,0.3914488363750876,0.34308954683250453,356098,127910,41592,67.75076103500761,24.33599695585997,7.9132420091324205
1.5,1.0,1.0,0.3990962709284627,0.39794133599146525,0.34158698032334306,311180,194423,19997,59.20471841704719,36.990677321156774,3.804604261796043
1.55,1.0,1.05,0.3950228310502283,0.39659918004691747,0.34086327097945296,323562,179736,22302,61.56050228310502,34.19634703196347,4.243150684931507
1.6,1.0,1.1,0.3911396499238965,0.39526747520261035,0.3397896539005401,335046,165947,24607,63.74543378995434,31.57286910197869,4.681697108066971
1.65,1.0,1.15,0.38722602739726025,0.3937929372360427,0.3383347714650155,345687,152956,26957,65.76997716894977,29.101217656012174,5.1288051750380514
1.25,1.0,1.4,0.41674657534246573,0.39880220821733775,0.336809641521784,8167,212838,304595,1.5538432267884321,40.49429223744293,57.95186453576865
1.7,1.0,1.2,0.3830745814307458,0.39208640247636356,0.3361985938628676,355917,140351,29332,67.71632420091325,26.703006088280063,5.580669710806697
1.25,1.0,0.75,0.4146765601217656,0.39776740039736724,0.3356945286239154,237865,278188,9547,45.25589802130898,52.92770167427702,1.816400304414003
1.3,1.0,1.45,0.41269596651445967,0.3971026217339544,0.33534884301402373,9516,198001,318083,1.8105022831050226,37.67142313546423,60.518074581430746
1.0,1.0,1.25,0.4280974124809741,0.40305428571677054,0.33471774071386795,1015,258430,266155,0.19311263318112634,49.16856925418569,50.638318112633186
1.35,1.0,1.5,0.40885654490106543,0.3955941078086804,0.33386274059016613,11065,183644,330891,2.105213089802131,34.93987823439878,62.95490867579908
0.75,1.0,1.25,0.42818683409436836,0.4030880946743894,0.333443198215164,31,258475,267094,0.005898021308980213,49.17713089802131,50.81697108066972
0.5,1.0,1.25,0.42818493150684933,0.4030845063389305,0.3334096858232894,4,258479,267117,0.00076103500761035,49.17789193302892,50.82134703196347
1.75,1.0,1.25,0.3784094368340944,0.3898053454175355,0.3331187771613319,365800,127940,31860,69.59665144596651,24.34170471841705,6.061643835616438
1.55,1.0,1.0,0.393894596651446,0.39571316015331365,0.33303301112903455,329858,179755,15987,62.75837138508371,34.199961948249616,3.041666666666667
1.6,1.0,1.05,0.3899562404870624,0.39433546536841585,0.33180892147985114,341641,165962,17997,65.0001902587519,31.575722983257233,3.424086757990868
1.65,1.0,1.1,0.38594748858447486,0.3927783232869793,0.3300892981716376,352604,152964,20032,67.08599695585997,29.102739726027398,3.811263318112633
2.25,1.0,2.0,0.3487804414003044,0.37299497027707207,0.3297151544531898,334421,42715,148464,63.62652207001523,8.126902587519027,28.246575342465754
0.75,1.0,1.0,0.4342332572298326,0.39868563626397985,0.3289862970997575,303,334459,190838,0.05764840182648402,63.63375190258752,36.308599695586
1.25,1.0,1.45,0.4128253424657534,0.39690755028512154,0.3288811376223675,4029,198403,323168,0.7665525114155252,37.747907153729074,61.4855403348554
0.5,1.0,1.0,0.4343036529680365,0.39874336591000775,0.3286924668507893,11,334472,191117,0.002092846270928463,63.63622526636226,36.36168188736682
1.7,1.0,1.15,0.3816533485540335,0.3909256753990515,0.32774985395340617,363110,140366,22124,69.08485540334856,26.7058599695586,4.209284627092846
1.3,1.0,1.5,0.4088299086757991,0.39517432137289193,0.32628992308692695,4693,184103,336804,0.8928843226788432,35.02720700152207,64.07990867579909
1.6,1.0,1.0,0.3894444444444444,0.3940735425850875,0.3254567642784649,346855,165967,12778,65.992199391172,31.576674277016743,2.4311263318112633
1.75,1.0,1.2,0.37705289193302893,0.38873593366325215,0.324637502065148,373420,127951,24229,71.04642313546424,24.343797564687975,4.609779299847793
1.25,1.0,0.5,0.4141628614916286,0.39775160799994297,0.3237855984878023,247131,278200,269,47.01883561643835,52.92998477929984,0.05117960426179604
1.25,1.0,1.5,0.40917047184170474,0.39539607209608096,0.3234711841284504,2197,184243,339160,0.4179984779299848,35.05384322678843,64.52815829528159
1.65,1.0,1.05,0.38520357686453577,0.39227386946827575,0.3233022410143113,358118,152969,14513,68.13508371385085,29.103691019786908,2.7612252663622527
0.75,1.0,0.75,0.42870243531202434,0.385397228585117,0.32189585431813456,14309,399829,111462,2.722412480974125,76.07096651445967,21.20662100456621
1.0,1.0,1.5,0.4093607305936073,0.3954767821093142,0.3208041241816551,85,184326,341189,0.016171993911719938,35.06963470319634,64.91419330289193
0.75,1.0,1.5,0.40937785388127856,0.3954913752045704,0.320746079417771,14,184335,341251,0.002663622526636225,35.07134703196347,64.92598934550989
0.5,1.0,1.5,0.40938165905631657,0.39549442037277577,0.3207328251383898,1,184337,341262,0.0001902587519025875,35.071727549467276,64.92808219178082
1.7,1.0,1.1,0.3806107305936073,0.3901089099142981,0.32043915053971145,368927,140368,16305,70.1915905631659,26.706240487062406,3.1021689497716896
1.5,1.0,0.75,0.39765981735159817,0.3973626141371636,0.3197293426493591,328596,194455,2549,62.518264840182646,36.99676560121766,0.4849695585996956
1.65,1.0,1.0,0.38510083713850835,0.39240096716999356,0.31839351944369343,362318,152969,10313,68.93417047184171,29.103691019786908,1.962138508371385
2.25,1.0,2.25,0.35097602739726025,0.36848159459615254,0.3181165110137259,153751,37432,334417,29.252473363774733,7.121765601217655,63.62576103500761
1.75,1.0,1.15,0.37596651445966517,0.38788237327698577,0.31722059933145413,379466,127956,18178,72.19672754946728,24.34474885844749,3.458523592085236
1.5,1.0,0.5,0.39774923896499237,0.39761901575002806,0.31628367512585326,331126,194455,19,62.99961948249619,36.99676560121766,0.003614916286149163
1.7,1.0,1.05,0.3803519786910198,0.3900841823985035,0.3150252849893819,373439,140370,11791,71.05003805175039,26.706621004566212,2.2433409436834095
1.0,1.0,0.5,0.41817922374429223,0.38698133045664657,0.31428997477059,164912,358139,2549,31.375951293759513,68.13907914764079,0.4849695585996956
2.0,1.0,1.5,0.3576122526636225,0.37913006440134084,0.3137144592048578,405190,76038,44372,77.09094368340944,14.46689497716895,8.442161339421613
1.75,1.0,1.1,0.3753310502283105,0.38746447548693025,0.3110347672336266,384335,127957,13308,73.12309741248097,24.34493911719939,2.5319634703196345
1.7,1.0,1.0,0.38035578386605784,0.39028620711870304,0.310938175341587,376900,140370,8330,71.70852359208524,26.706621004566212,1.5848554033485542
0.5,1.0,0.75,0.43000380517503806,0.3857814959673805,0.30910250890339913,53,401777,123770,0.010083713850837138,76.4415905631659,23.548325722983257
1.75,1.0,1.05,0.37542427701674275,0.3877776765615188,0.30685550676518547,388047,127957,9596,73.82933789954338,24.34493911719939,1.82572298325723
1.5,1.0,1.75,0.39013888888888887,0.3861664027905118,0.3046814805318548,4344,123778,397478,0.8264840182648402,23.549847792998477,75.62366818873669
1.75,1.0,1.0,0.37520928462709285,0.38770224168873724,0.3031506637295464,390823,127957,6820,74.35749619482496,24.34493911719939,1.297564687975647
2.5,1.0,2.25,0.33406963470319634,0.3625037061073087,0.30206949679525447,340732,21023,163845,64.82724505327245,3.9998097412480975,31.17294520547945
0.75,1.0,0.5,0.41520928462709283,0.3718280639864988,0.30059670807484656,83896,424287,17417,15.961948249619482,80.72431506849314,3.3137366818873666
1.25,1.0,1.75,0.39049657534246573,0.38631897491906736,0.29959435884803015,217,123922,401461,0.04128614916286149,23.57724505327245,76.3814687975647
1.0,1.0,1.75,0.39054984779299845,0.38636443168163076,0.29941166557269744,26,123935,401639,0.004946727549467275,23.579718417047186,76.41533485540334
0.75,1.0,1.75,0.39055555555555554,0.38636894780304143,0.29939535142197365,7,123938,401655,0.0013318112633181126,23.580289193302892,76.41837899543378
0.5,1.0,1.75,0.3905574581430746,0.3863702717671187,0.29938910082376635,1,123940,401659,0.0001902587519025875,23.5806697108067,76.4191400304414
1.75,1.0,0.75,0.3748782343987823,0.38770922450235873,0.29432998629767343,397027,127957,616,75.5378614916286,24.34493911719939,0.11719939117199392
1.75,1.0,0.5,0.37497146118721464,0.387851036253686,0.2935340318028498,397641,127957,2,75.6546803652968,24.34493911719939,0.000380517503805175
2.25,1.0,1.75,0.34008561643835616,0.3679415699299258,0.29150630497089847,425479,43143,56978,80.95110350076104,8.208333333333332,10.840563165905632
2.5,1.0,2.5,0.3359855403348554,0.3576716303274245,0.28959733804150106,164941,17792,342867,31.381468797564686,3.3850837138508374,65.23344748858447
1.75,1.0,2.0,0.3703234398782344,0.3743142776214143,0.2792895612987482,7867,76994,440739,1.496765601217656,14.648782343987824,83.85445205479452
0.5,1.0,0.5,0.4178595890410959,0.3670078830271019,0.27838239358737055,6330,457216,62054,1.2043378995433789,86.98934550989345,11.806316590563167
2.0,1.0,1.25,0.3522260273972603,0.3749645718572068,0.278242803823979,436773,76047,12780,83.09988584474885,14.468607305936073,2.4315068493150687
2.75,1.0,2.5,0.3218245814307458,0.35295731786778556,0.27733931099254544,341349,6925,177326,64.94463470319634,1.3175418569254185,33.737823439878234
1.5,1.0,2.0,0.37111872146118724,0.3747708084099022,0.2709457946235139,479,77246,447875,0.09113394216133942,14.696727549467276,85.21213850837138
1.25,1.0,2.0,0.3712100456621005,0.374843617969754,0.270472402184693,67,77264,448269,0.012747336377473363,14.700152207001521,85.287100456621
1.0,1.0,2.0,0.3712366818873668,0.37486896238810913,0.2704606580864473,18,77272,448310,0.003424657534246575,14.701674277016744,85.29490106544901
0.75,1.0,2.0,0.37124048706240487,0.3748718605671864,0.2704437153954826,3,77274,448323,0.0005707762557077625,14.702054794520548,85.29737442922375
0.5,1.0,2.0,0.37124048706240487,0.3748718605671864,0.27044292447239265,0,77274,448326,0.0,14.702054794520548,85.29794520547945
2.5,1.0,2.0,0.32595890410958905,0.35817896470434213,0.26932663864675627,434780,21247,69573,82.720700152207,4.042427701674277,13.236872146118722
2.75,1.0,2.75,0.3239554794520548,0.34838266522298317,0.26555876021696523,172762,5812,347026,32.86948249619483,1.1057838660578385,66.02473363774733
2.0,1.0,1.0,0.3516723744292237,0.37494847160012307,0.2645937387289291,447004,76047,2549,85.04642313546424,14.468607305936073,0.4849695585996956
3.0,1.0,2.75,0.3150209284627093,0.34705029159916306,0.26410402090264734,335572,1182,188846,63.8455098934551,0.22488584474885848,35.929604261796044
2.0,1.0,0.75,0.35174467275494675,0.37518129797379424,0.2610755775501494,449460,76047,93,85.51369863013699,14.468607305936073,0.01769406392694064
2.0,1.0,0.5,0.3517732115677321,0.3752185811877,0.2609721371659382,449552,76047,1,85.53120243531203,14.468607305936073,0.0001902587519025875
