mes,tipo_decision,muestras,accuracy,balanced_accuracy,f1_macro,recall_baja,recall_neutral,recall_sube,reales_baja,reales_neutral,reales_sube,porcentaje_real_baja,porcentaje_real_neutral,porcentaje_real_sube,predicciones_baja,predicciones_neutral,predicciones_sube,porcentaje_predicho_baja,porcentaje_predicho_neutral,porcentaje_predicho_sube,cm_baja_baja,cm_baja_neutral,cm_baja_sube,cm_neutral_baja,cm_neutral_neutral,cm_neutral_sube,cm_sube_baja,cm_sube_neutral,cm_sube_sube
2025-06,original,43200,0.43425925925925923,0.3901164729892919,0.3502109211599931,0.07599420383191112,0.7728645506866488,0.3214906644493159,12422,17549,13229,28.75462962962963,40.62268518518518,30.622685185185183,1944,30508,10748,4.5,70.62037037037037,24.87962962962963,944,8384,3094,585,13563,3401,415,8561,4253
2025-06,ajustada,43200,0.4346759259259259,0.4187446010930913,0.4177431241983037,0.3554983094509741,0.566243090774403,0.33449240305389677,12422,17549,13229,28.75462962962963,40.62268518518518,30.622685185185183,11936,20041,11223,27.629629629629633,46.3912037037037,25.979166666666664,4416,4735,3271,4085,9937,3527,3435,5369,4425
2025-07,original,44640,0.41312724014336916,0.36956156615737407,0.33671659923922914,0.07524631615659604,0.7200113218228135,0.3134270604927125,11469,17665,15506,25.692204301075268,39.57213261648745,34.73566308243727,3121,28819,12700,6.9914874551971335,64.5586917562724,28.449820788530467,863,6851,3755,861,12719,4085,1397,9249,4860
2025-07,ajustada,44640,0.3886424731182796,0.38080168067914383,0.3784708285175717,0.34841747318859534,0.4823662609680158,0.3116213078808203,11469,17665,15506,25.692204301075268,39.57213261648745,34.73566308243727,13632,17840,13168,30.53763440860215,39.96415770609319,29.498207885304662,3996,3590,3883,4691,8521,4453,4945,5729,4832
2025-08,original,44640,0.39453405017921145,0.3710740219743185,0.330702832586342,0.06573829158238681,0.6932594644506002,0.35422430988996845,12854,16245,15541,28.794802867383513,36.391129032258064,34.814068100358426,2948,27456,14236,6.603942652329748,61.505376344086024,31.89068100358423,845,7331,4678,930,11262,4053,1173,8863,5505
2025-08,ajustada,44640,0.3710125448028674,0.36433750402967696,0.36404693587331716,0.2763342150303407,0.45170821791320404,0.3649700791454861,12854,16245,15541,28.794802867383513,36.391129032258064,34.814068100358426,12422,16505,15713,27.827060931899645,36.973566308243726,35.19937275985663,3552,3952,5350,4216,7338,4691,4654,5215,5672
2025-09,original,43200,0.5320833333333334,0.3721305113283326,0.33502904709195835,0.04264735465701066,0.8907599123673697,0.1829842669606173,9942,23279,9979,23.01388888888889,53.886574074074076,23.099537037037038,1135,36451,5614,2.627314814814815,84.37731481481482,12.99537037037037,424,7792,1726,481,20736,2062,230,7923,1826
2025-09,ajustada,43200,0.5113888888888889,0.42308482264262054,0.4237389836066067,0.31613357473345405,0.7096095193092486,0.24351137388515884,9942,23279,9979,23.01388888888889,53.886574074074076,23.099537037037038,9589,26847,6764,22.19675925925926,62.145833333333336,15.657407407407408,3143,5010,1789,4215,16519,2545,2231,5318,2430
2025-10,original,44640,0.42616487455197133,0.38707536128036785,0.3420064172275437,0.05412092160197928,0.7545567056705671,0.35254845656855704,12934,17776,13930,28.974014336917563,39.82078853046595,31.205197132616487,2315,29286,13039,5.185931899641577,65.60483870967741,29.209229390681003,700,7621,4613,848,13413,3515,767,8252,4911
2025-10,ajustada,44640,0.4198700716845878,0.4079217980921494,0.40735194741826586,0.3118138240296892,0.5217146714671467,0.3902368987796124,12934,17776,13930,28.974014336917563,39.82078853046595,31.205197132616487,11928,18907,13805,26.720430107526884,42.354390681003586,30.925179211469533,4033,4562,4339,4472,9274,4030,3423,5071,5436
2025-11,original,43200,0.42657407407407405,0.43147182107035204,0.38070347528271253,0.09413023131434683,0.7051459399640337,0.4951392919326756,14958,14458,13784,34.625,33.467592592592595,31.907407407407405,3068,23385,16747,7.101851851851852,54.13194444444444,38.7662037037037,1408,7147,6403,744,10195,3519,916,6043,6825
2025-11,ajustada,43200,0.43574074074074076,0.438286909975498,0.43242957720833425,0.3110709987966306,0.49668003873288147,0.507109692396982,14958,14458,13784,34.625,33.467592592592595,31.907407407407405,10516,14931,17753,24.342592592592595,34.5625,41.094907407407405,4653,4025,6280,2794,7181,4483,3069,3725,6990
2025-12,original,44640,0.5433915770609319,0.41963078664357173,0.39974651322304905,0.08081437623350993,0.82030491152498,0.35777307217222515,9627,23679,11334,21.565860215053764,53.04435483870967,25.38978494623656,1847,31844,10949,4.137544802867383,71.33512544802866,24.52732974910394,778,5713,3136,497,19424,3758,572,6707,4055
2025-12,ajustada,44640,0.4855062724014337,0.43324045918895365,0.4318069794588843,0.3312558429417264,0.6081337894336754,0.36033174519145933,9627,23679,11334,21.565860215053764,53.04435483870967,25.38978494623656,11113,22065,11462,24.894713261648747,49.428763440860216,25.676523297491038,3189,3375,3063,4964,14400,4315,2960,4290,4084
