multiplicador_baja,multiplicador_neutral,multiplicador_sube,accuracy,balanced_accuracy,f1_macro,predicciones_baja,predicciones_neutral,predicciones_sube,porcentaje_predicho_baja,porcentaje_predicho_neutral,porcentaje_predicho_sube
1.25,1.0,1.4,0.5597488584474886,0.4137547929960916,0.3771976907113739,8619,364015,152966,1.6398401826484017,69.2570395738204,29.1031202435312
2.25,1.0,2.25,0.4173592085235921,0.41442872447417695,0.3767510471291285,99524,167613,258463,18.93531202435312,31.889840182648406,49.17484779299848
1.15,1.0,1.25,0.572429604261796,0.4048930149670235,0.37543507121476205,10775,396012,118813,2.0500380517503807,75.34474885844749,22.60521308980213
1.5,1.0,1.05,0.5479946727549467,0.41239701249354344,0.3752230156683308,156604,357757,11239,29.795281582952814,68.066400304414,2.138318112633181
1.1,1.0,1.15,0.5789345509893455,0.3991487518125163,0.37513557026719396,15293,414684,95623,2.909627092846271,78.8972602739726,18.193112633181126
1.4,1.0,1.0,0.5585844748858447,0.4061923145249146,0.37482484562396134,132251,380563,12786,25.1619101978691,72.40544140030441,2.432648401826484
1.2,1.0,1.35,0.5642941400304414,0.4105206865434014,0.3747384428635571,7692,375243,142665,1.4634703196347032,71.39326484018265,27.143264840182646
1.05,1.0,1.0,0.5840125570776256,0.3902196021316484,0.3737098400605763,30477,435976,59147,5.79851598173516,82.9482496194825,11.253234398782345
1.05,1.0,1.05,0.5838032724505328,0.3935875002777904,0.3735514471205262,21275,430595,73730,4.04775494672755,81.92446727549468,14.027777777777779
1.3,1.0,1.5,0.5475152207001522,0.4173228227479648,0.37354620871099137,6393,340883,178324,1.216324200913242,64.85597412480975,33.92770167427702
1.25,1.0,1.45,0.5539992389649924,0.41553089213326366,0.37321200405001925,5715,352860,167025,1.0873287671232876,67.13470319634703,31.77796803652968
1.2,1.0,1.4,0.5599942922374429,0.41350679973876164,0.3725349258751325,5124,364379,156097,0.9748858447488585,69.32629375951294,29.698820395738203
1.45,1.0,1.0,0.5532933789954337,0.4091708261739018,0.37238509576959844,146270,369417,9913,27.829147640791476,70.28481735159818,1.88603500761035
1.75,1.0,1.25,0.511183409436834,0.4172632826080033,0.3720350689822094,210883,300790,13927,40.12233637747336,57.2279299847793,2.6497336377473366
1.15,1.0,1.3,0.5683751902587519,0.4071945208960915,0.37195455430870045,6838,386141,132621,1.3009893455098933,73.46670471841705,25.232305936073057
1.1,1.0,1.2,0.5761548706240487,0.4017490147219142,0.3717254168769859,9478,406204,109918,1.8032724505327244,77.28386605783865,20.912861491628615
1.05,1.0,1.1,0.5820167427701675,0.3961571657190231,0.3707173959781023,13551,423774,88275,2.5781963470319633,80.62671232876713,16.795091324200914
1.15,1.0,1.35,0.5644387366818874,0.41015226615041883,0.3703095225237884,4549,375599,145452,0.8654870624048707,71.46099695585997,27.673515981735157
1.25,1.0,1.5,0.5476598173515982,0.4171336400104961,0.37028405470858083,4031,341119,180450,0.7669330289193304,64.90087519025876,34.332191780821915
1.5,1.0,1.0,0.5478063165905631,0.4122699754852975,0.37023230245771543,160067,357893,7640,30.45414764079148,68.09227549467276,1.4535768645357687
1.2,1.0,1.45,0.5540829528158295,0.4152651419213556,0.37020034488126075,3624,353076,168900,0.6894977168949772,67.17579908675799,32.13470319634703
1.15,1.0,1.4,0.5599695585996955,0.41312630661433286,0.36953077564093545,3201,364579,157820,0.6090182648401826,69.36434550989345,30.026636225266362
1.1,1.0,1.25,0.5727054794520547,0.40440941415496096,0.36937295410539067,6016,396643,122941,1.1445966514459667,75.46480213089802,23.390601217656013
1.0,1.0,1.0,0.5863375190258752,0.39071257417407795,0.36847839102508134,19006,438805,67789,3.616057838660578,83.48649162861491,12.897450532724505
1.05,1.0,1.15,0.5796898782343988,0.39888142245547664,0.36812344803044605,8300,415749,101551,1.5791476407914764,79.09988584474887,19.320966514459663
1.2,1.0,1.5,0.5475951293759513,0.41677607997030447,0.36789445548390765,2580,341245,181775,0.4908675799086758,64.92484779299848,34.58428462709285
1.1,1.0,1.3,0.56845700152207,0.4067734087366947,0.3678526038418988,4008,386491,135101,0.7625570776255708,73.53329528158295,25.704147640791476
1.15,1.0,1.45,0.553966894977169,0.41484665880620125,0.36782711981620403,2269,353207,170124,0.4316971080669711,67.20072298325724,32.3675799086758
1.1,1.0,1.4,0.5598972602739726,0.4128041001523801,0.3674716999431972,1994,364703,158903,0.3793759512937595,69.38793759512937,30.23268645357686
1.1,1.0,1.35,0.5643683409436834,0.4097148887862572,0.3674152427499751,2786,375796,147018,0.5300608828006088,71.49847792998479,27.971461187214615
1.0,1.0,1.05,0.5852682648401827,0.3937195445863415,0.36682162149923264,12030,432332,81238,2.288812785388128,82.25494672754947,15.456240487062406
2.5,1.0,2.25,0.3851426940639269,0.40353986425698746,0.3667822196567932,263053,143723,118824,50.04813546423136,27.344558599695585,22.60730593607306
1.05,1.0,1.2,0.5764364535768646,0.4013543249390253,0.36634730938736176,5265,406758,113577,1.0017123287671232,77.38926940639269,21.60901826484018
1.1,1.0,1.45,0.5538926940639269,0.4145821492650801,0.3663153636011407,1418,353283,170899,0.2697869101978691,67.21518264840182,32.515030441400306
1.15,1.0,1.5,0.5475247336377473,0.41650634350376176,0.3662917299053223,1654,341330,182616,0.3146879756468798,64.94101978691019,34.74429223744292
1.05,1.0,1.4,0.5597888127853882,0.41249516552607607,0.3660113399932901,1230,364781,159589,0.23401826484018262,69.40277777777779,30.36320395738204
