version,fecha_utc,objetivo,grupo_objetivo,variante,grupo_variante,tipo_modelo,variables,pliegue,umbral,coste,filas_validacion,negativos_entrenamiento,positivos_entrenamiento,prevalencia,pr_auc,pr_auc_lift,roc_auc,precision,porcentaje_acierto,recall,f1,tn,fp,fn,tp,operaciones,precision_operaciones,porcentaje_acierto_operaciones,porcentaje_operaciones_positivas,retorno_neto_medio,retorno_neto_mediano,factor_beneficio,maximo_drawdown,retorno_compuesto,duracion_media_minutos,concentracion_mensual_maxima
baja_v1_short,2026-07-05T18:28:44.541582+00:00,baja_cierre_4h,control_v4,control_v4_63_moderado,control,sgd,63,validacion_2023,0.25,0.001,521200,720829,302738,0.1555640828856485,0.2281181756111706,1.4663936005000269,0.6424724507513109,0.1757921495258365,17.57921495258365,0.943315244203256,0.2963565702240769,81522,358598,4596,76484,577,0.0866551126516464,8.665511265164644,40.38128249566724,-0.0011543727303309,-0.0011211357084685,0.6612858050009416,-0.5346289750854436,-0.4975607566797648,480.0,0.2645546882762192
baja_v1_short,2026-07-05T18:28:44.856112+00:00,baja_cierre_4h,control_v4,control_v4_63_moderado,control,sgd,63,validacion_2023,0.26,0.001,521200,720829,302738,0.1555640828856485,0.2281181756111706,1.4663936005000269,0.6424724507513109,0.1824880397111553,18.248803971115528,0.9013936852491368,0.3035267831186198,112713,327407,7995,73085,665,0.0977443609022556,9.774436090225564,42.10526315789473,-0.001136900776362,-0.0009319313574233,0.6666550093741174,-0.5850043197634867,-0.5421730498389787,480.0,0.2444921662039284
baja_v1_short,2026-07-05T18:28:45.128143+00:00,baja_cierre_4h,control_v4,control_v4_63_moderado,control,sgd,63,validacion_2023,0.27,0.001,521200,720829,302738,0.1555640828856485,0.2281181756111706,1.4663936005000269,0.6424724507513109,0.1899607608406491,18.99607608406491,0.8454612728169709,0.3102202994044494,147806,292314,12530,68550,720,0.1263888888888888,12.63888888888889,41.94444444444444,-0.0013445152775693,-0.0010253879143201,0.6438441034912622,-0.6587062423697794,-0.6328796254492961,480.0,0.2380660701516355
baja_v1_short,2026-07-05T18:28:45.457383+00:00,baja_cierre_4h,control_v4,control_v4_63_moderado,control,sgd,63,validacion_2023,0.28,0.001,521200,720829,302738,0.1555640828856485,0.2281181756111706,1.4663936005000269,0.6424724507513109,0.1971967587523073,19.71967587523073,0.7773803650715343,0.3145915999101594,183520,256600,18050,63030,791,0.1390644753476612,13.90644753476612,40.581542351453855,-0.0015802264472526,-0.0010996021044556,0.606505980595117,-0.7307752835325139,-0.7249014783180501,480.0,0.2091049505843164
baja_v1_short,2026-07-05T18:28:45.759156+00:00,baja_cierre_4h,control_v4,control_v4_63_moderado,control,sgd,63,validacion_2023,0.29,0.001,521200,720829,302738,0.1555640828856485,0.2281181756111706,1.4663936005000269,0.6424724507513109,0.2049849668840907,20.49849668840908,0.7046497286630489,0.3175837553293792,218535,221585,23947,57133,831,0.1239470517448856,12.394705174488568,39.83152827918171,-0.001895395719761,-0.0012101417485391,0.5774692385362951,-0.8079279244575497,-0.8045511214639112,480.0,0.1860021150891874
baja_v1_short,2026-07-05T18:28:46.038646+00:00,baja_cierre_4h,control_v4,control_v4_63_moderado,control,sgd,63,validacion_2023,0.3,0.001,521200,720829,302738,0.1555640828856485,0.2281181756111706,1.4663936005000269,0.6424724507513109,0.2134198231269815,21.34198231269815,0.6309940799210656,0.3189588528678304,251561,188559,29919,51161,871,0.1492537313432835,14.925373134328357,40.18369690011481,-0.0020577318566437,-0.0011875696034403,0.5779095592501357,-0.8466761799747319,-0.8449344450147611,480.0,0.188600733904465
baja_v1_short,2026-07-05T18:28:46.386321+00:00,baja_cierre_4h,control_v4,control_v4_63_moderado,control,sgd,63,validacion_2023,0.31,0.001,521200,720829,302738,0.1555640828856485,0.2281181756111706,1.4663936005000269,0.6424724507513109,0.2223272530339955,22.232725303399555,0.5569560927479033,0.3177958795897183,282163,157957,35922,45158,876,0.1621004566210045,16.210045662100455,42.12328767123288,-0.0019147830730573,-0.000966134184433,0.6020682702321828,-0.8292819004931795,-0.825391980610151,480.0,0.2173831569211212
baja_v1_short,2026-07-05T18:28:46.689653+00:00,baja_cierre_4h,control_v4,control_v4_63_moderado,control,sgd,63,validacion_2023,0.32,0.001,521200,720829,302738,0.1555640828856485,0.2281181756111706,1.4663936005000269,0.6424724507513109,0.2307392398483004,23.07392398483005,0.4817464232856438,0.3120281831907398,309898,130222,42020,39060,867,0.1591695501730103,15.91695501730104,40.253748558246826,-0.0019765994678933,-0.0014395886790007,0.6128735474537799,-0.8343076348924254,-0.8323133220713255,480.0,0.2140339083362429
baja_v1_short,2026-07-05T18:28:46.959105+00:00,baja_cierre_4h,control_v4,control_v4_63_moderado,control,sgd,63,validacion_2023,0.33,0.001,521200,720829,302738,0.1555640828856485,0.2281181756111706,1.4663936005000269,0.6424724507513109,0.236859709823837,23.685970982383704,0.4061174148988653,0.299210809681098,334029,106091,48152,32928,859,0.1757857974388824,17.57857974388824,42.374854481955765,-0.0022450693781657,-0.0013392657963559,0.5783988391374122,-0.8649807473616411,-0.8654887031923919,480.0,0.2122422735266165
baja_v1_short,2026-07-05T18:28:47.189415+00:00,baja_cierre_4h,control_v4,control_v4_63_moderado,control,sgd,63,validacion_2023,0.34,0.001,521200,720829,302738,0.1555640828856485,0.2281181756111706,1.4663936005000269,0.6424724507513109,0.2424904278930753,24.249042789307538,0.3382215096201282,0.2824652750954066,354454,85666,53657,27423,833,0.1728691476590636,17.286914765906364,41.65666266506602,-0.002398710819011,-0.0014620566905941,0.5651535383502073,-0.8744221117470875,-0.8748945482278484,480.0,0.1988790310670391
baja_v1_short,2026-07-05T18:28:47.435802+00:00,baja_cierre_4h,control_v4,control_v4_63_moderado,control,sgd,63,validacion_2023,0.35,0.001,521200,720829,302738,0.1555640828856485,0.2281181756111706,1.4663936005000269,0.6424724507513109,0.2484696777578593,24.84696777578593,0.2803527380365072,0.2634500822883104,371367,68753,58349,22731,806,0.1935483870967742,19.35483870967742,42.30769230769231,-0.002373335877617,-0.0011431890341336,0.577879535999045,-0.8631183208309388,-0.8636332832951668,480.0,0.1749247382641043
baja_v1_short,2026-07-05T18:28:47.686850+00:00,baja_cierre_4h,control_v4,control_v4_63_moderado,control,sgd,63,validacion_2023,0.36,0.001,521200,720829,302738,0.1555640828856485,0.2281181756111706,1.4663936005000269,0.6424724507513109,0.2548919126670532,25.48919126670533,0.2331154415392205,0.2435178087133534,384868,55252,62179,18901,777,0.2072072072072072,20.72072072072072,42.985842985842986,-0.0023184786637388,-0.0011580477546667,0.5956076709306981,-0.8467155412896754,-0.847457842578837,480.0,0.2090295957361219
baja_v1_short,2026-07-05T18:28:47.935471+00:00,baja_cierre_4h,control_v4,control_v4_63_moderado,control,sgd,63,validacion_2023,0.37,0.001,521200,720829,302738,0.1555640828856485,0.2281181756111706,1.4663936005000269,0.6424724507513109,0.2595886880912401,25.95886880912401,0.1925752343364578,0.2211160597327744,395585,44535,65466,15614,748,0.1991978609625668,19.919786096256683,42.24598930481284,-0.0024326183635639,-0.0014501951916608,0.5830898288884967,-0.8491120075170328,-0.8498152737008522,480.0,0.2052742905169311
baja_v1_short,2026-07-05T18:28:48.142744+00:00,baja_cierre_4h,control_v4,control_v4_63_moderado,control,sgd,63,validacion_2023,0.38,0.001,521200,720829,302738,0.1555640828856485,0.2281181756111706,1.4663936005000269,0.6424724507513109,0.262398723299779,26.239872329977903,0.1581771090281203,0.1973744959832558,404069,36051,68255,12825,728,0.1978021978021978,19.78021978021978,41.8956043956044,-0.002522000580779,-0.0013917107533197,0.5789456986094254,-0.8521920840445318,-0.8528809944560348,480.0,0.1952514026114882
