comparacion,semilla,pliegue,control,candidata,umbral,variable_macro,operaciones_control,operaciones_candidata,precision_control,precision_candidata,positivas_control,positivas_candidata,retorno_control,retorno_candidata,retencion_retorno,mejora_relativa_retorno,factor_control,factor_candidata,retencion_factor,mejora_relativa_factor,drawdown_control,drawdown_candidata,mejora_drawdown_absoluta,retorno_mediano_control,retorno_mediano_candidata,coeficiente_macro,signo_coeficiente,concentracion_mensual_control,concentracion_mensual_candidata
v41_vix_042,11,validacion_2023,v41_control_macro,v41_vix,0.42,impulso_vix_20s,84,61,0.42857142857142855,0.47540983606557374,57.14285714285714,59.01639344262295,0.002832600198568212,0.0010337520710770793,0.36494810372448877,-0.6350518962755112,1.4244807906054329,1.1367431824623255,0.7980052731909336,-0.20199472680906638,-0.08738270075587773,-0.12028378165561293,-0.0329010808997352,0.0024205677588595717,0.0023572104018912974,0.05713392787812854,1,0.16880093532963822,0.18639465352755208
v41_vix_042,11,validacion_2024,v41_control_macro,v41_vix,0.42,impulso_vix_20s,124,123,0.4838709677419355,0.4715447154471545,61.29032258064516,57.72357723577236,0.0045582622719226185,0.0029936784751727966,0.6567587156212712,-0.3432412843787288,1.5714067238628673,1.350291732153519,0.8592885035099007,-0.14071149649009929,-0.116271498959715,-0.12274667385792049,-0.006475174898205482,0.0034919725393871568,0.003345603309984236,0.01917986579750834,1,0.20007620337763923,0.1959262578379373
v41_vix_042,23,validacion_2023,v41_control_macro,v41_vix,0.42,impulso_vix_20s,85,54,0.47058823529411764,0.46296296296296297,62.35294117647059,61.111111111111114,0.005528511191244253,0.0016185462223547319,0.2927634884628786,-0.7072365115371214,1.8852092263201086,1.208006858952298,0.6407813212914854,-0.35921867870851465,-0.10968757763663872,-0.12351304082149728,-0.013825463184858555,0.00559904859501359,0.002822106162851724,0.07901048529367517,1,0.1827643608422936,0.19602186371136007
v41_vix_042,23,validacion_2024,v41_control_macro,v41_vix,0.42,impulso_vix_20s,112,124,0.5,0.49193548387096775,58.92857142857143,59.67741935483871,0.002185678263296958,0.004617336699486364,2.112541803166127,1.1125418031661272,1.2747357375934323,1.5970680860601572,1.2528620944410445,0.25286209444104446,-0.09475060417571668,-0.10593778627224637,-0.01118718209652969,0.002744445908362537,0.003561351259334212,0.029669889387145702,1,0.2874322423462209,0.24879532492864526
v41_vix_042,42,validacion_2023,v41_control_macro,v41_vix,0.42,impulso_vix_20s,96,97,0.4375,0.44329896907216493,61.458333333333336,64.94845360824742,0.004507771535880324,0.005329118991934347,1.1822069839867386,0.18220698398673862,1.7770952899491752,2.0127583247210503,1.1326113664836819,0.13261136648368188,-0.09683032472541164,-0.08814161089786687,0.00868871382754477,0.004156769772228786,0.004773602625491536,0.06525746309608838,1,0.15736622456815846,0.1315306293862527
v41_vix_042,42,validacion_2024,v41_control_macro,v41_vix,0.42,impulso_vix_20s,144,138,0.4791666666666667,0.5289855072463768,60.416666666666664,61.59420289855072,0.004068884530393176,0.004456190605117999,1.09518728581059,0.09518728581059,1.5512673416561313,1.6087844427654503,1.0370774911356762,0.037077491135676155,-0.09523061224235163,-0.10354108166673892,-0.00831046942438729,0.0044514267495408,0.004480120401746502,0.023156507358788637,1,0.2475002865449475,0.18686088758545008
v41_vix_042,77,validacion_2023,v41_control_macro,v41_vix,0.42,impulso_vix_20s,97,121,0.5154639175257731,0.4462809917355372,64.94845360824742,60.33057851239669,0.005843394997085408,0.004070377097318586,0.6965774347530546,-0.30342256524694544,2.146223936739233,1.7478656123103593,0.8143910718682501,-0.1856089281317499,-0.10823339039135116,-0.09885598150344377,0.00937740888790739,0.00625378476804317,0.0026944093467019545,0.056118420170440456,1,0.21553642576114712,0.13576015848711384
v41_vix_042,77,validacion_2024,v41_control_macro,v41_vix,0.42,impulso_vix_20s,126,126,0.46825396825396826,0.47619047619047616,59.523809523809526,57.936507936507944,0.002969224615543657,0.0023874472798252797,0.8040642217928482,-0.1959357782071518,1.359669573961658,1.278776099396991,0.940505049084118,-0.05949495091588197,-0.14906967439901364,-0.14929755110851217,-0.00022787670949853123,0.002850288070296304,0.0027796038486357375,0.022949024485848055,1,0.27919385369601635,0.33409771576381253
v41_vix_042,101,validacion_2023,v41_control_macro,v41_vix,0.42,impulso_vix_20s,70,76,0.4714285714285714,0.5131578947368421,58.57142857142858,60.526315789473685,0.003167835263445118,0.004861945997167769,1.5347849849617032,0.5347849849617032,1.438381774039218,1.7887651944435916,1.2435955646326344,0.24359556463263443,-0.14569710186766882,-0.09291389597489719,0.052783205892771634,0.002827934021172097,0.002827934021172097,0.0638775061403499,1,0.17939770912176664,0.16037478761947624
v41_vix_042,101,validacion_2024,v41_control_macro,v41_vix,0.42,impulso_vix_20s,117,119,0.49572649572649574,0.48739495798319327,59.82905982905983,57.98319327731093,0.0026453614896877658,0.0031198490105600867,1.1793658532952807,0.17936585329528065,1.2988834271488803,1.3474491971240068,1.0373903992922067,0.037390399292206666,-0.17630241637940092,-0.14958161214138843,0.026720804238012485,0.0029728485082488607,0.002784672890196683,0.027232649175582276,1,0.3022985670105854,0.2948973347070054
v45_reservas_044,11,validacion_2023,v45_control_macro,v45_reservas_fed,0.44,impulso_reservas_fed_4s,56,49,0.4642857142857143,0.3673469387755102,62.5,61.224489795918366,0.004342770013789763,0.001386343587261382,0.3192302569234089,-0.6807697430765911,1.636352595235667,1.1958904589696147,0.7308268782972064,-0.2691731217027936,-0.09811492577956427,-0.14592900827620725,-0.047814082496642984,0.008098666711647495,0.0047861796527647335,0.04388819219026584,1,0.18208260155753986,0.2056848804081942
v45_reservas_044,11,validacion_2024,v45_control_macro,v45_reservas_fed,0.44,impulso_reservas_fed_4s,96,104,0.5104166666666666,0.5096153846153846,59.375,55.769230769230774,0.0033610999114317363,0.0016198092966470295,0.4819283387374924,-0.5180716612625076,1.3921637794862003,1.1696331077626232,0.8401548187055222,-0.15984518129447778,-0.17174301986035334,-0.18868678031475083,-0.016943760454397494,0.005446983165722453,0.0039144017810843765,0.06612101933238748,1,0.23769132251071812,0.20692758448310108
v45_reservas_044,23,validacion_2023,v45_control_macro,v45_reservas_fed,0.44,impulso_reservas_fed_4s,41,56,0.36585365853658536,0.42857142857142855,68.29268292682927,62.5,0.0036382760499048456,0.002459502998029655,0.6760078026773093,-0.3239921973226907,1.5098676442151773,1.3628971515373915,0.9026600157696734,-0.09733998423032664,-0.1283783159222247,-0.09205111393501031,0.0363272019872144,0.005719465854534201,0.004148165586123521,0.052200006098035025,1,0.19027010985472678,0.22440530522254404
v45_reservas_044,23,validacion_2024,v45_control_macro,v45_reservas_fed,0.44,impulso_reservas_fed_4s,88,86,0.4772727272727273,0.4883720930232558,55.68181818181818,55.81395348837209,0.0010465495232588543,0.001243685467806421,1.1883675260141577,0.18836752601415774,1.1180238643809641,1.1378448217917883,1.0177285638010944,0.017728563801094444,-0.14849617091509848,-0.15151387811874595,-0.0030177072036474684,0.003693421563443434,0.002757173870690078,0.05715511847230301,1,0.22139567472859387,0.26885598304874514
v45_reservas_044,42,validacion_2023,v45_control_macro,v45_reservas_fed,0.44,impulso_reservas_fed_4s,61,76,0.5245901639344263,0.5,65.57377049180327,68.42105263157895,0.005963953837032199,0.0059599851315396205,0.9993345512723564,-0.000665448727643625,1.9215186328951928,2.075834229531771,1.0803091856590885,0.08030918565908851,-0.09982063655928652,-0.07256705888112736,0.02725357767815917,0.009180467157180794,0.006136422102097972,0.05017407827196387,1,0.17480058207143342,0.17576410715798857
v45_reservas_044,42,validacion_2024,v45_control_macro,v45_reservas_fed,0.44,impulso_reservas_fed_4s,115,106,0.4608695652173913,0.4716981132075472,58.26086956521739,57.54716981132076,0.0033903210933885304,0.004536510836040426,1.3380770467101424,0.3380770467101424,1.4595688987482196,1.62724057658126,1.1148775353988716,0.11487753539887158,-0.16111595430210357,-0.11952319997856531,0.04159275432353826,0.0033949161272605064,0.004368912075873089,0.05785637178139745,1,0.21143933172003918,0.2338259619586975
v45_reservas_044,77,validacion_2023,v45_control_macro,v45_reservas_fed,0.44,impulso_reservas_fed_4s,75,66,0.5066666666666667,0.5454545454545454,65.33333333333333,65.15151515151516,0.005941824242469168,0.005470441233356719,0.9206669551510391,-0.07933304484896087,2.148904644284815,1.9127674972957338,0.8901127848473374,-0.10988721515266264,-0.06977451465181816,-0.11877890112609957,-0.0490043864742814,0.006300805083863882,0.007042371866754827,0.06391040259399901,1,0.3325603957785258,0.17231302754756012
v45_reservas_044,77,validacion_2024,v45_control_macro,v45_reservas_fed,0.44,impulso_reservas_fed_4s,108,114,0.49074074074074076,0.4824561403508772,60.18518518518518,60.526315789473685,0.003201194086976325,0.002744839607815825,0.8574424209337622,-0.14255757906623778,1.386306510633039,1.3264451504566783,0.9568195347008608,-0.043180465299139215,-0.1941585342451615,-0.17553628808045152,0.018622246164709977,0.003849311279957469,0.00403864568454615,0.07090202961250752,1,0.1970560204086658,0.28182487578402726
v45_reservas_044,101,validacion_2023,v45_control_macro,v45_reservas_fed,0.44,impulso_reservas_fed_4s,40,40,0.4,0.425,67.5,67.5,0.002217320567999634,0.004488767010111266,2.024410486644621,1.024410486644621,1.2806623228817111,1.6483214945306093,1.2870851785672914,0.28708517856729143,-0.10858850634370731,-0.07800497515683702,0.030583531186870294,0.007041522562683755,0.007041522562683755,0.05664357611775987,1,0.17020757337064274,0.16486183148601344
v45_reservas_044,101,validacion_2024,v45_control_macro,v45_reservas_fed,0.44,impulso_reservas_fed_4s,100,100,0.49,0.48,60.0,61.0,0.003983356412164784,0.0037253789173012485,0.9352361505800242,-0.06476384941997582,1.5085143415094415,1.459961747251804,0.9678142972051197,-0.03218570279488031,-0.13483217751326382,-0.1862723758943361,-0.05144019838107228,0.004585642513978861,0.004081208727909403,0.06627328404571069,1,0.23637451122773367,0.23610772827058282
