rejilla_minutos,variante,semilla,margen_ev,aprobada_dos_pliegues,operaciones_2023,operaciones_2024,precision_tp_2023,porcentaje_acierto_tp_2023,precision_tp_2024,porcentaje_acierto_tp_2024,retorno_neto_medio_2023,retorno_neto_medio_2024,retorno_neto_mediano_2023,retorno_neto_mediano_2024,factor_beneficio_2023,factor_beneficio_2024,drawdown_2023,drawdown_2024,concentracion_2023,concentracion_2024,retorno_medio_promedio,peor_retorno_medio,peor_pf
15,macro_dolar,42,0.00025,False,1395,1422,0.2426991777714771,24.26991777714772,0.2924826279216677,29.248262792166773,-0.0008276466265119,-0.0009232720548781,-0.0059999998882412,-0.0059999998882412,0.7693223156411785,0.7554615020444974,-0.7065681234471758,-0.7534916485365909,0.1542561019436192,0.1100830946697358,-0.0008754593406950001,-0.0009232720548781,0.7554615020444974
30,macro_reservas_fed,42,0.00025,False,1105,1487,0.2091611479028697,20.916114790286976,0.2935560859188544,29.35560859188544,-0.0009233373576082,-0.0009004998297364,-0.0059999998882412,-0.0059999998882412,0.7343457940880896,0.7603449869936736,-0.6526638922517545,-0.7640658642908915,0.129762898474734,0.1013289848598514,-0.0009119185936723,-0.0009233373576082,0.7343457940880896
10,macro_vix,42,0.0,False,1516,2000,0.2263444520081688,22.634445200816884,0.2906746031746032,29.06746031746032,-0.000927410288103,-0.0009149930741906,-0.0059999998882412,-0.0059999998882412,0.7356815924678093,0.7579166773548586,-0.7730908309380147,-0.8488139975963688,0.1288188183841631,0.1048394719146456,-0.0009212016811468,-0.000927410288103,0.7356815924678093
15,macro_dolar,42,0.0005,False,1232,1103,0.2426991777714771,24.26991777714772,0.2924826279216677,29.248262792166773,-0.0009372360633757,-0.0008735426185191,-0.0059999998882412,-0.0059999998882412,0.7390858996108259,0.7660680239236343,-0.7020235840391811,-0.637796448215943,0.1538896318282692,0.1188073218749674,-0.0009053893409474,-0.0009372360633757,0.7390858996108259
30,macro_nasdaq100,42,0.00025,False,501,1250,0.2616822429906542,26.168224299065415,0.25,25.0,-0.0009079759786137,-0.0009454087102745,-0.0059999998882412,-0.0059999998882412,0.7391750759916837,0.7499391973851866,-0.4157980208083216,-0.7181110638917045,0.1298428243512757,0.1167287621237263,-0.0009266923444441,-0.0009454087102745,0.7391750759916837
30,macro_reservas_fed,42,0.0,False,1269,1775,0.2091611479028697,20.916114790286976,0.2935560859188544,29.35560859188544,-0.000945467616482,-0.000879685536544,-0.0059999998882412,-0.0059999998882412,0.7302018269083272,0.7666694704006942,-0.7108022855442236,-0.8057235432383465,0.1245445470819062,0.0989539191851519,-0.000912576576513,-0.000945467616482,0.7302018269083272
15,macro_spread_baa,42,0.0,False,1430,1186,0.2334735576923076,23.347355769230766,0.28125,28.125,-0.0009578543621975,-0.0006650041861862,-0.0059999998882412,-0.0059999998882412,0.7341166332848637,0.8176857849742346,-0.7595385276651885,-0.5966660536095517,0.1590092037606045,0.1128135601561694,-0.00081142927419185,-0.0009578543621975,0.7341166332848637
30,macro_spread_baa,42,0.0005,False,984,637,0.2305900621118012,23.05900621118013,0.2789855072463768,27.898550724637683,-0.0009584719177279,-0.0009265886394873,-0.0059999998882412,-0.0059999998882412,0.730081165555077,0.7507276526308166,-0.6341506761573659,-0.4897859193701169,0.1146124874539061,0.1372019736618677,-0.0009425302786076,-0.0009584719177279,0.730081165555077
30,macro_dolar,42,0.001,False,683,626,0.2250196695515342,22.50196695515342,0.2685393258426966,26.853932584269664,-0.0009506132894293,-0.0009591544649051,-0.0059999998882412,-0.0059999998882412,0.7251771993614478,0.7427165057730213,-0.4857998559913363,-0.5063589436443844,0.1354600398687503,0.1247687767498965,-0.0009548838771672,-0.0009591544649051,0.7251771993614478
30,macro_nasdaq100,42,0.0,False,570,1501,0.2616822429906542,26.168224299065415,0.25,25.0,-0.0009636293730234,-0.000959467631084,-0.0059999998882412,-0.0059999998882412,0.7247572155269355,0.7475501078795412,-0.4610604672342157,-0.773359872557573,0.1350449092892965,0.1101766453153943,-0.0009615485020537,-0.0009636293730234,0.7247572155269355
