objetivo,variante,umbral,operaciones_minimas,retorno_minimo,retorno_mediano_minimo,factor_minimo,drawdown_peor,positivas_minimas,precision_operaciones_minima,pr_auc_minimo,pr_auc_lift_minimo,concentracion_mensual_maxima,aprobado
corto_tp070_sl035_240m,sgd_101_moderado,0.9,0,0.0,0.0,0.0,-0.0045000001080335,0.0,0.0,0.2406606673297599,1.1490856070573323,1.0,False
corto_tp070_sl035_240m,sgd_63_sin_pesos,0.67,0,0.0,0.0,0.0,-0.0045000001080335,0.0,0.0,0.2349982432323634,1.1220491573392843,1.0,False
corto_tp070_sl035_240m,sgd_63_sin_pesos,0.68,0,0.0,0.0,0.0,-0.0045000001080335,0.0,0.0,0.2349982432323634,1.1220491573392843,1.0,False
corto_tp070_sl035_240m,sgd_63_sin_pesos,0.69,0,0.0,0.0,0.0,-0.0045000001080335,0.0,0.0,0.2349982432323634,1.1220491573392843,1.0,False
corto_tp070_sl035_240m,sgd_63_sin_pesos,0.7,0,0.0,0.0,0.0,-0.0045000001080335,0.0,0.0,0.2349982432323634,1.1220491573392843,1.0,False
corto_tp070_sl035_240m,sgd_63_sin_pesos,0.71,0,0.0,0.0,0.0,-0.0045000001080335,0.0,0.0,0.2349982432323634,1.1220491573392843,1.0,False
corto_tp070_sl035_240m,sgd_63_sin_pesos,0.72,0,0.0,0.0,0.0,-0.0045000001080335,0.0,0.0,0.2349982432323634,1.1220491573392843,1.0,False
corto_tp070_sl035_240m,sgd_63_sin_pesos,0.73,0,0.0,0.0,0.0,-0.0045000001080335,0.0,0.0,0.2349982432323634,1.1220491573392843,1.0,False
corto_tp070_sl035_240m,sgd_63_sin_pesos,0.79,0,0.0,0.0,0.0,-0.0045000001080335,0.0,0.0,0.2349982432323634,1.1220491573392843,1.0,False
corto_tp070_sl035_240m,sgd_63_sin_pesos,0.83,0,0.0,0.0,0.0,-0.0045000001080335,0.0,0.0,0.2349982432323634,1.1220491573392843,1.0,False
corto_tp070_sl035_240m,sgd_63_sin_pesos,0.84,0,0.0,0.0,0.0,-0.0045000001080335,0.0,0.0,0.2349982432323634,1.1220491573392843,1.0,False
baja_cierre_4h,histgb_101_moderado,0.78,0,0.0,0.0,0.0,-0.0071610778793692,0.0,0.0,0.2341322535886603,1.3128936430353293,0.4001645645067377,False
baja_cierre_4h,histgb_63_moderado,0.85,0,0.0,0.0,0.0,-0.0080441686548291,0.0,0.0,0.2352851491426881,1.3038575879510876,0.4611288030640957,False
baja_cierre_4h,histgb_101_moderado,0.8,0,0.0,0.0,0.0,-0.0122940836697816,0.0,0.0,0.2341322535886603,1.3128936430353293,0.5213549646481306,False
baja_cierre_4h,histgb_101_moderado,0.82,0,0.0,0.0,0.0,-0.0122940836697816,0.0,0.0,0.2341322535886603,1.3128936430353293,0.5547359525878146,False
baja_cierre_4h,histgb_101_moderado,0.79,0,0.0,0.0,0.0,-0.0122940836697817,0.0,0.0,0.2341322535886603,1.3128936430353293,0.4440666536025907,False
baja_cierre_4h,histgb_101_moderado,0.81,0,0.0,0.0,0.0,-0.0122940836697817,0.0,0.0,0.2341322535886603,1.3128936430353293,0.5323723758120114,False
baja_cierre_4h,histgb_63_moderado,0.82,0,0.0,0.0,0.0,-0.0149901014044879,0.0,0.0,0.2352851491426881,1.3038575879510876,0.4325895412853238,False
baja_cierre_4h,histgb_63_moderado,0.83,0,0.0,0.0,0.0,-0.0149901014044879,0.0,0.0,0.2352851491426881,1.3038575879510876,0.5219369810700732,False
baja_cierre_4h,histgb_63_moderado,0.81,0,0.0,0.0,0.0,-0.014990101404488,0.0,0.0,0.2352851491426881,1.3038575879510876,0.4761014754435212,False
baja_cierre_4h,histgb_63_moderado,0.84,0,0.0,0.0,0.0,-0.014990101404488,0.0,0.0,0.2352851491426881,1.3038575879510876,0.5098365977677157,False
corto_tp070_sl035_240m,sgd_101_moderado,0.75,1,-1.3180907170933114e-05,-0.0045000001080334,0.9948343441608418,-0.0231825337434746,42.30769230769231,0.0,0.2406606673297599,1.1490856070573323,1.0,False
corto_tp070_sl035_240m,sgd_101_moderado,0.8,1,-0.0001190014438502,-0.0045000001080334,0.9534068432089684,-0.0179715789243813,43.24324324324324,0.0,0.2406606673297599,1.1490856070573323,1.0,False
