variante,base,variable_macro,pliegue,umbral,es_umbral_base,operaciones,precision,porcentaje_acierto,porcentaje_operaciones_positivas,retorno_neto_medio,retorno_neto_mediano,factor_beneficio,maximo_drawdown,retorno_compuesto
v41_tipo_real,v41,impulso_rendimiento_real_10y_20s,validacion_2024,0.4,False,159,0.42138364779874216,42.138364779874216,57.861635220125784,0.0027003674018507107,0.0029159032503959246,1.3363601745803422,-0.16960847716965854,0.4674000094324797
v41_tipo_real,v41,impulso_rendimiento_real_10y_20s,validacion_2024,0.42,False,131,0.48091603053435117,48.091603053435115,59.541984732824424,0.003527599560308478,0.004752999488662036,1.451737728600267,-0.16175784962813566,0.52830012471257
v41_tipo_real,v41,impulso_rendimiento_real_10y_20s,validacion_2024,0.44,True,118,0.4915254237288136,49.152542372881356,59.32203389830508,0.0035676170261227476,0.003973555183419243,1.4505869761226908,-0.14946384302002114,0.47088983591743094
v41_tipo_real,v41,impulso_rendimiento_real_10y_20s,validacion_2024,0.46,False,97,0.5463917525773195,54.63917525773196,57.73195876288659,0.003661103919177173,0.003901366203496016,1.4788287737354417,-0.16810459171788938,0.38593446583706537
v41_tipo_real,v41,impulso_rendimiento_real_10y_20s,validacion_2024,0.48,False,87,0.5517241379310345,55.172413793103445,56.32183908045977,0.0028596002875554472,0.004986099919419674,1.3318874729733992,-0.18835729172516402,0.2473315203663189
v41_tipo_real,v41,impulso_rendimiento_real_10y_20s,validacion_2024,0.5,False,77,0.5324675324675324,53.246753246753244,54.54545454545454,0.0035376616724503655,0.003901366203496016,1.4176699446395238,-0.1643153813863233,0.2791474555625326
v41_credito,v41,impulso_spread_baa_20s,validacion_2023,0.4,False,116,0.43103448275862066,43.103448275862064,61.206896551724135,0.004526562942105652,0.00501392259446909,1.829828501250536,-0.10940294276941953,0.6415562165616053
v41_credito,v41,impulso_spread_baa_20s,validacion_2023,0.42,False,94,0.46808510638297873,46.808510638297875,68.08510638297872,0.004957640596142771,0.005798061707180114,1.8944106052488265,-0.12039641148403635,0.5528054703099157
v41_credito,v41,impulso_spread_baa_20s,validacion_2023,0.44,True,72,0.5,50.0,69.44444444444444,0.004031430708893132,0.006136422102097972,1.6576618846808608,-0.08744974023261864,0.3108549588681664
v41_credito,v41,impulso_spread_baa_20s,validacion_2023,0.46,False,58,0.5172413793103449,51.724137931034484,63.793103448275865,0.003469638108129263,0.006481915767871716,1.4977221414146737,-0.12008308432890802,0.2018295779522159
v41_credito,v41,impulso_spread_baa_20s,validacion_2023,0.48,False,50,0.58,57.99999999999999,66.0,0.004713235913241876,0.009509175016916727,1.6019520364634836,-0.08872424885244923,0.243119480990593
v41_credito,v41,impulso_spread_baa_20s,validacion_2023,0.5,False,46,0.5652173913043478,56.52173913043478,65.21739130434783,0.0040597298830029795,0.010067251595715865,1.5233572089686371,-0.12459366240017888,0.18665386940580753
v41_credito,v41,impulso_spread_baa_20s,validacion_2024,0.4,False,163,0.4171779141104294,41.717791411042946,55.828220858895705,0.0026291660300153735,0.0026357578382699707,1.338305479174969,-0.10593527592854357,0.46928414257736994
v41_credito,v41,impulso_spread_baa_20s,validacion_2024,0.42,False,141,0.45390070921985815,45.39007092198582,57.446808510638306,0.0029521215383813792,0.003624428370514355,1.3630707324829463,-0.15847762450385794,0.45450512735277115
v41_credito,v41,impulso_spread_baa_20s,validacion_2024,0.44,True,128,0.515625,51.5625,60.15625,0.004341379713631493,0.006158005662333267,1.5482639627674832,-0.11627149895971489,0.6738576333541246
v41_credito,v41,impulso_spread_baa_20s,validacion_2024,0.46,False,112,0.5446428571428571,54.46428571428571,60.71428571428571,0.003973685858139076,0.007914749480144145,1.499235085754825,-0.11426642921747876,0.506282426779723
v41_credito,v41,impulso_spread_baa_20s,validacion_2024,0.48,False,91,0.5604395604395604,56.043956043956044,56.043956043956044,0.0026257317704001014,0.0071475096664875845,1.3044113364538619,-0.17367271562256903,0.23388463100073897
v41_credito,v41,impulso_spread_baa_20s,validacion_2024,0.5,False,80,0.55,55.00000000000001,55.00000000000001,0.0023600471056132487,0.004958988804342091,1.2605757337644323,-0.21156865495352617,0.17562444922524612
v41_vix,v41,impulso_vix_20s,validacion_2023,0.4,False,124,0.4112903225806452,41.12903225806452,60.483870967741936,0.003718518751755736,0.00312993330585254,1.6680802699195436,-0.1170309645676002,0.5391810995158037
