version,pliegue,rejilla_minutos,variante,semilla,margen_ev,columnas,coste,usa_2025_seleccion,usa_2026_seleccion,promocion_automatica,accuracy_multiclase,precision_tp,porcentaje_acierto_tp,recall_tp,f1_tp,pr_auc_tp,prevalencia_tp,matriz_confusion,roc_auc_tp,pr_auc_lift_tp,operaciones,porcentaje_positivas,retorno_neto_medio,retorno_neto_mediano,factor_beneficio,drawdown,retorno_compuesto,concentracion_mensual,duracion_media
baja_v2_eventos_macro,validacion_2024,5,macro_reservas_fed,42,0.00025,64,0.001,False,False,False,0.5846899666059502,0.27456392139545155,27.456392139545155,0.08884046581410303,0.13424376551873043,0.2815209111021097,0.2655775652701882,"[[58256, 5246, 317], [25465, 2487, 42], [11382, 1325, 888]]",0.5340385122496871,1.06003272835076,1797,33.94546466332777,-0.001064352690512296,-0.005999999888241291,0.7212634545548163,-0.8588033457406505,-0.8583893509485551,0.1128704492198929,147.96327212020034
baja_v2_eventos_macro,validacion_2024,5,macro_reservas_fed,42,0.0005,64,0.001,False,False,False,0.5846899666059502,0.27456392139545155,27.456392139545155,0.08884046581410303,0.13424376551873043,0.2815209111021097,0.2655775652701882,"[[58256, 5246, 317], [25465, 2487, 42], [11382, 1325, 888]]",0.5340385122496871,1.06003272835076,1490,32.61744966442953,-0.001227639135978249,-0.005999999888241291,0.6811216100299851,-0.8443525066770545,-0.8448306053462361,0.11698889687975392,153.5456375838926
baja_v2_eventos_macro,validacion_2024,5,macro_reservas_fed,42,0.001,64,0.001,False,False,False,0.5846899666059502,0.27456392139545155,27.456392139545155,0.08884046581410303,0.13424376551873043,0.2815209111021097,0.2655775652701882,"[[58256, 5246, 317], [25465, 2487, 42], [11382, 1325, 888]]",0.5340385122496871,1.06003272835076,964,33.50622406639004,-0.0010660100365423352,-0.005999999888241291,0.71375872637287,-0.6710476532186986,-0.6498397888920973,0.13624856656562445,174.496887966805
baja_v2_eventos_macro,validacion_2023,5,macro_completo,42,0.0,69,0.001,False,False,False,0.4679937922709942,0.20938070495716893,20.938070495716893,0.13639482230252023,0.16518487744079768,0.22180137041331224,0.2094437951449428,"[[45785, 7676, 1], [18878, 2982, 3], [25392, 3584, 85]]",0.5273857116408306,1.0590018685433844,1644,34.48905109489051,-0.0011571110164495227,-0.005999999888241291,0.683723068487714,-0.8576035037052004,-0.8559277325087304,0.13893347246318413,175.6903892944039
baja_v2_eventos_macro,validacion_2023,5,macro_completo,42,0.00025,69,0.001,False,False,False,0.4679937922709942,0.20938070495716893,20.938070495716893,0.13639482230252023,0.16518487744079768,0.22180137041331224,0.2094437951449428,"[[45785, 7676, 1], [18878, 2982, 3], [25392, 3584, 85]]",0.5273857116408306,1.0590018685433844,1537,34.80806766428107,-0.001157693170562672,-0.005999999888241291,0.6816990818524449,-0.8413862443149847,-0.8366690829967325,0.13500275523096766,178.17241379310346
baja_v2_eventos_macro,validacion_2023,5,macro_completo,42,0.0005,69,0.001,False,False,False,0.4679937922709942,0.20938070495716893,20.938070495716893,0.13639482230252023,0.16518487744079768,0.22180137041331224,0.2094437951449428,"[[45785, 7676, 1], [18878, 2982, 3], [25392, 3584, 85]]",0.5273857116408306,1.0590018685433844,1426,35.203366058906035,-0.0010974285743835413,-0.005999999888241291,0.6938288119749313,-0.8148359384620344,-0.7970662095039455,0.1324792117096057,184.56381486676017
baja_v2_eventos_macro,validacion_2023,5,macro_completo,42,0.001,69,0.001,False,False,False,0.4679937922709942,0.20938070495716893,20.938070495716893,0.13639482230252023,0.16518487744079768,0.22180137041331224,0.2094437951449428,"[[45785, 7676, 1], [18878, 2982, 3], [25392, 3584, 85]]",0.5273857116408306,1.0590018685433844,1237,34.923201293451896,-0.001120867008668422,-0.005999999888241291,0.6855326720427998,-0.769349825315552,-0.7563798250718954,0.12434988372364199,190.0614389652385
baja_v2_eventos_macro,validacion_2024,5,macro_completo,42,0.0,69,0.001,False,False,False,0.585458409228901,0.28200347999005715,28.200347999005714,0.08105308280345788,0.12591564927857934,0.28210441807206743,0.2655775652701882,"[[59135, 4601, 83], [25725, 2269, 0], [12111, 1176, 308]]",0.5312194033348243,1.0622298528306238,1506,34.8605577689243,-0.0009433112691189347,-0.005999999888241291,0.7483834561353567,-0.7685964884013528,-0.766799281000767,0.11618186579418022,153.33798140770253
baja_v2_eventos_macro,validacion_2024,5,macro_completo,42,0.00025,69,0.001,False,False,False,0.585458409228901,0.28200347999005715,28.200347999005714,0.08105308280345788,0.12591564927857934,0.28210441807206743,0.2655775652701882,"[[59135, 4601, 83], [25725, 2269, 0], [12111, 1176, 308]]",0.5312194033348243,1.0622298528306238,1269,34.988179669030735,-0.0008516015064056969,-0.005999999888241291,0.7703674421259524,-0.6814492802499954,-0.6706064266707004,0.12828781052096022,158.17809298660362
baja_v2_eventos_macro,validacion_2024,5,macro_completo,42,0.0005,69,0.001,False,False,False,0.585458409228901,0.28200347999005715,28.200347999005714,0.08105308280345788,0.12591564927857934,0.28210441807206743,0.2655775652701882,"[[59135, 4601, 83], [25725, 2269, 0], [12111, 1176, 308]]",0.5312194033348243,1.0622298528306238,1097,34.54876937101185,-0.0009494203271128297,-0.005999999888241291,0.7458038404213945,-0.686376880695159,-0.6559552946504787,0.13715248685100304,161.8778486782133
baja_v2_eventos_macro,validacion_2024,5,macro_completo,42,0.001,69,0.001,False,False,False,0.585458409228901,0.28200347999005715,28.200347999005714,0.08105308280345788,0.12591564927857934,0.28210441807206743,0.2655775652701882,"[[59135, 4601, 83], [25725, 2269, 0], [12111, 1176, 308]]",0.5312194033348243,1.0622298528306238,808,35.27227722772277,-0.0009062130439435155,-0.005999999888241291,0.7559832540094795,-0.5703839562924965,-0.5281081002042778,0.15257381971953063,170.44554455445544
baja_v2_eventos_macro,validacion_2023,10,macro_dolar,42,0.0,64,0.001,False,False,False,0.48258420508104377,0.23449723335241365,23.449723335241366,0.11248398315943621,0.15203810230716894,0.23683879861203272,0.20933440625359237,"[[23952, 2791, 0], [9697, 1229, 0], [13297, 1221, 7]]",0.5680111546707786,1.1313897359286504,1534,35.267275097783575,-0.0010043638481625845,-0.005999999888241291,0.7236377038909686,-0.7998713879266859,-0.7928713466946723,0.138323924461188,166.493481095176
baja_v2_eventos_macro,validacion_2023,10,macro_dolar,42,0.00025,64,0.001,False,False,False,0.48258420508104377,0.23449723335241365,23.449723335241366,0.11248398315943621,0.15203810230716894,0.23683879861203272,0.20933440625359237,"[[23952, 2791, 0], [9697, 1229, 0], [13297, 1221, 7]]",0.5680111546707786,1.1313897359286504,1362,35.24229074889868,-0.0010327225050718396,-0.005999999888241291,0.715160152689016,-0.767796931281733,-0.762179364686905,0.13697909346034967,170.79368575624082
baja_v2_eventos_macro,validacion_2023,10,macro_dolar,42,0.0005,64,0.001,False,False,False,0.48258420508104377,0.23449723335241365,23.449723335241366,0.11248398315943621,0.15203810230716894,0.23683879861203272,0.20933440625359237,"[[23952, 2791, 0], [9697, 1229, 0], [13297, 1221, 7]]",0.5680111546707786,1.1313897359286504,1210,35.20661157024794,-0.001068653062853703,-0.005999999888241291,0.7051618498478133,-0.7397981131465612,-0.7326406163842258,0.12275618986917786,176.48595041322315
baja_v2_eventos_macro,validacion_2023,10,macro_dolar,42,0.001,64,0.001,False,False,False,0.48258420508104377,0.23449723335241365,23.449723335241366,0.11248398315943621,0.15203810230716894,0.23683879861203272,0.20933440625359237,"[[23952, 2791, 0], [9697, 1229, 0], [13297, 1221, 7]]",0.5680111546707786,1.1313897359286504,947,34.31890179514255,-0.0011689695012686318,-0.005999999888241291,0.6755340236107673,-0.6790944718021821,-0.6759325185167426,0.12136370895998504,190.51636747624076
baja_v2_eventos_macro,validacion_2024,10,macro_dolar,42,0.0,64,0.001,False,False,False,0.6008841833636915,0.2701582516955539,27.01582516955539,0.05126921701823382,0.08618306388605085,0.3008693715437287,0.2653498785670917,"[[29173, 1593, 1144], [13069, 717, 199], [4686, 344, 1779]]",0.5681885515562968,1.1338590888695514,1728,34.89583333333333,-0.0008817151720621264,-0.005999999888241291,0.7649328283237706,-0.8006314587352398,-0.7908396245637181,0.10776024663815735,138.3287037037037
