pliegue,modo_evaluacion,estrategia_id,es_control_v4_1,umbral_baja,minutos_minimos,condicion_salida,operaciones,precision_clasificacion,porcentaje_acierto_clasificacion,porcentaje_operaciones_positivas,retorno_bruto_medio,retorno_neto_medio,retorno_neto_mediano,factor_beneficio,maximo_drawdown,retorno_compuesto,duracion_media_minutos,porcentaje_salidas_anticipadas,perdida_media,peor_operacion,porcentaje_meses_positivos,concentracion_ganancias_mejores_5
validacion_2023,cohorte_v4_1,baja_047_min30_solo_beneficio_neto,False,0.47,30,solo_beneficio_neto,70,0.5,50.0,70.0,0.0027339438600258383,0.0017339438600258376,0.004687906378421204,1.3236898429699724,-0.1439554382861602,0.11628629703787507,324.0285714285714,45.714285714285715,-0.017856021720425025,-0.07256705888112736,72.72727272727273,0.26506694446415935
validacion_2023,cohorte_v4_1,baja_047_min60_siempre,False,0.47,60,siempre,70,0.5,50.0,60.0,0.003127595401349941,0.00212759540134994,0.0025566332683356627,1.409346389846317,-0.07384725623016075,0.14897123073925123,290.7,57.14285714285714,-0.012993857122745811,-0.05309935740660143,72.72727272727273,0.32042501012204555
validacion_2023,cohorte_v4_1,baja_047_min60_solo_beneficio_neto,False,0.47,60,solo_beneficio_neto,70,0.5,50.0,70.0,0.0033535231723161468,0.002353523172316146,0.004566523760381137,1.4393519096182577,-0.13420725706799208,0.16447471138451775,341.0285714285714,44.285714285714285,-0.017856021720425025,-0.07256705888112736,72.72727272727273,0.30441726785862605
validacion_2023,reinversion,control_v4_1_fija_480m,True,,0,siempre,70,0.5,50.0,61.42857142857143,0.006191087265403583,0.005191087265403582,0.005219992298277299,1.8054006324372958,-0.08872424885244934,0.404172186676242,480.0,0.0,-0.016710161191529564,-0.07256705888112736,90.9090909090909,0.3928738474631184
validacion_2023,reinversion,baja_032_min0_siempre,False,0.32,0,siempre,135,0.45185185185185184,45.18518518518518,52.59259259259259,0.002420273729961877,0.0014202737299618766,0.00018221138280727443,1.4501614991590845,-0.06890420185710666,0.19628518288080987,102.33333333333333,95.55555555555556,-0.006655144664158858,-0.041055391475228964,72.72727272727273,0.39704286492060176
validacion_2023,reinversion,baja_032_min0_solo_beneficio_neto,False,0.32,0,solo_beneficio_neto,87,0.5287356321839081,52.87356321839081,83.9080459770115,0.004262939405333984,0.003262939405333983,0.0019205536187453251,1.7931090986072744,-0.07467401680858143,0.3037773082129407,226.1264367816092,75.86206896551724,-0.025566265434041398,-0.07256705888112736,90.9090909090909,0.4337934055368205
validacion_2023,reinversion,baja_032_min30_siempre,False,0.32,30,siempre,98,0.5,50.0,57.14285714285714,0.003745784691173758,0.002745784691173757,0.0016347210908611584,1.7007590783162612,-0.09958524390240253,0.2914567693198311,159.6734693877551,91.83673469387756,-0.009142701313932345,-0.041055391475228964,72.72727272727273,0.3755126923506433
validacion_2023,reinversion,baja_032_min30_solo_beneficio_neto,False,0.32,30,solo_beneficio_neto,78,0.5128205128205128,51.28205128205128,79.48717948717949,0.005079123318244314,0.004079123318244313,0.0025789214212403886,1.8610746961231988,-0.076266632263845,0.3485203170252793,280.29487179487177,70.51282051282051,-0.023094077977174547,-0.07256705888112736,90.9090909090909,0.4048559947055464
validacion_2023,reinversion,baja_032_min60_siempre,False,0.32,60,siempre,85,0.4823529411764706,48.23529411764706,58.82352941176471,0.00491921666324974,0.0039192166632497395,0.0020648557723464975,1.9163932837998197,-0.07132028585990968,0.3720986677390816,218.18823529411765,88.23529411764706,-0.01038647683152219,-0.041630399036745924,90.9090909090909,0.4305447926133532
validacion_2023,reinversion,baja_032_min60_solo_beneficio_neto,False,0.32,60,solo_beneficio_neto,75,0.5066666666666667,50.66666666666667,76.0,0.005644542055700984,0.0046445420557009835,0.003779415386737318,1.89873987395925,-0.07626663226384522,0.38659362211001747,322.6533333333333,64.0,-0.021532658254237218,-0.07256705888112736,90.9090909090909,0.407571359871621
validacion_2023,reinversion,baja_047_min0_siempre,False,0.47,0,siempre,148,0.4797297297297297,47.97297297297297,57.432432432432435,0.0019614116019963206,0.00096141160199632,0.0009735228397903537,1.2661881235068262,-0.1021132835451728,0.14081158971150542,137.0,79.05405405405406,-0.008484804693220972,-0.05309935740660143,72.72727272727273,0.20951933451160112
